dt,leftfoot_px,leftfoot_py,leftfoot_pz,leftfoot_rx,leftfoot_ry,leftfoot_rz,rightfoot_px,rightfoot_py,rightfoot_pz,rightfoot_rx,rightfoot_ry,rightfoot_rz,hip_px,hip_py,hip_pz,hip_rx,hip_ry,hip_rz,direction_px,direction_py,direction_pz,direction_rx,direction_ry,direction_rz,head_px,head_py,head_pz,head_rx,head_ry,head_rz,locomotionPoint_px,locomotionPoint_py,locomotionPoint_pz,locomotionPoint_rx,locomotionPoint_ry,locomotionPoint_rz,
0.0113762,0.06226838,0.2719662,-0.1851168,299.6738,354.6032,4.518975,0.2987887,0.1646626,0.007740974,279.9524,290.4717,73.81311,0,0,0,0,0,0,-0.2027853,-0.01878011,-0.2888515,0,325.8793,0,-0.2027852,0.0436261,-0.2888515,347.1475,272.6014,0.2987069,0.8355395,0.01880193,0.9463402,0,0,0,
0.0168618,0.06176186,0.2770283,-0.1793454,299.8484,352.6542,6.021596,0.3084621,0.1690478,0.007116079,279.3009,285.1906,78.72894,0,0,0,0,0,0,-0.202786,-0.01880193,-0.288854,0,320.7411,0,-0.202786,0.04363425,-0.288854,347.1458,272.6094,0.3009456,0.8336591,0.01878691,0.9486409,0,0,0,
0.0108642,0.06025279,0.2817132,-0.1706874,300.7064,352.0963,6.322156,0.3173566,0.1736825,0.005414724,279.1527,283.7089,80.61689,0,0,0,0,0,0,-0.2028161,-0.01878691,-0.2888129,0,316.3317,0,-0.2028161,0.04366533,-0.2888129,347.1414,272.6017,0.3010121,0.8315559,0.01877886,0.9508442,0,0,0,
0.0088993,0.05860746,0.284713,-0.1629215,304.6805,351.3893,7.073528,0.3230541,0.1811807,0.000392437,278.8975,282.3182,81.45882,0,0,0,0,0,0,-0.2028223,-0.01877886,-0.2887813,0,315.7813,0,-0.2028223,0.04366405,-0.2887813,347.1467,272.6002,0.2952877,0.8294025,0.01878357,0.9530571,0,0,0,
0.0269897,0.05707204,0.2875755,-0.1600461,304.5534,350.245,8.488624,0.3333058,0.1845748,-0.008059502,278.7086,277.6284,86.61629,0,0,0,0,0,0,-0.2027697,-0.01878154,-0.2888672,0,314.5507,0,-0.2027697,0.04366732,-0.2888672,347.1427,272.6046,0.2966187,0.8230191,0.01878059,0.9593411,0,0,0,
0.0123841,0.05522287,0.2857687,-0.1549764,302.1529,351.0893,7.960419,0.3415267,0.1892304,-0.01295614,278.4791,280.0088,84.0571,0,0,0,0,0,0,-0.2027375,-0.01878059,-0.28899,0,311.5824,0,-0.2027375,0.04356936,-0.28899,347.1418,272.6108,0.3022954,0.8208653,0.01883006,0.9612522,0,0,0,
0.0086614,0.05522966,0.284704,-0.1484756,300.031,352.4448,7.572672,0.3437455,0.1887805,-0.01650143,278.6179,280.6515,83.74569,0,0,0,0,0,0,0.1721482,5.960464E-08,0.3302151,0,2.937045,0,-0.2027321,0.0435111,-0.289036,347.1425,272.6099,0.2963939,0.8208653,0.01883006,0.9612522,0,0,0,
0.0084894,0.0549587,0.2806756,-0.1388839,299.0621,354.5894,6.30223,0.3499162,0.1917641,-0.02131534,278.3388,279.4322,85.06081,0,0,0,0,0,0,-0.2027372,-0.01883006,-0.2890397,0,312.4167,0,-0.2027372,0.04351839,-0.2890397,347.143,272.6075,0.3007159,0.8185881,0.01883084,0.9633328,0,0,0,
0.0085963,0.05326843,0.2797682,-0.1316797,298.3417,355.7176,5.609398,0.35478,0.1965492,-0.02703714,277.7461,277.5034,86.49047,0,0,0,0,0,0,-0.2027909,-0.01883084,-0.2890261,0,313.616,0,-0.2027909,0.04355267,-0.2890261,347.1409,272.6056,0.3102299,0.8163316,0.01881325,0.9654829,0,0,0,
0.0103154,0.05250013,0.2758362,-0.1233749,297.0911,355.6307,5.833761,0.3608207,0.2015033,-0.0323776,277.3773,273.9385,90.12708,0,0,0,0,0,0,-0.2027982,-0.01881325,-0.2890225,0,313.2256,0,-0.2027982,0.04354997,-0.2890225,347.1378,272.61,0.3026948,0.8140246,0.01882339,0.9676512,0,0,0,
