dt,leftfoot_px,leftfoot_py,leftfoot_pz,leftfoot_rx,leftfoot_ry,leftfoot_rz,rightfoot_px,rightfoot_py,rightfoot_pz,rightfoot_rx,rightfoot_ry,rightfoot_rz,hip_px,hip_py,hip_pz,hip_rx,hip_ry,hip_rz,direction_px,direction_py,direction_pz,direction_rx,direction_ry,direction_rz,head_px,head_py,head_pz,head_rx,head_ry,head_rz,locomotionPoint_px,locomotionPoint_py,locomotionPoint_pz,locomotionPoint_rx,locomotionPoint_ry,locomotionPoint_rz,
0.018748,0.1351625,0.1149592,0.007820606,271.4197,155.3489,35.82901,-0.1794165,0.1326759,0.01510596,275.0807,322.6057,231.2684,0,0,0,0,0,0,0,-0.03333668,0,0,13.2021,0,0,0,0,0,0,0,0.2413927,0.03333668,0.5466499,0,0,0,
0.0562242,0.1396257,0.1178479,0.01390362,271.1213,196.0141,354.6314,-0.1857599,0.1270964,0.005182743,276.5272,339.0201,213.1274,0,0,0,0,0,0,0,-0.03333668,0,0,20.73435,0,0,0,0,0,0,0,0.2455857,0.03333668,0.5577262,0,0,0,
0.0220275,0.1378313,0.1166465,0.0146904,270.4593,208.7933,341.6601,-0.1960279,0.1216874,-0.005125284,278.1562,348.0792,202.2093,0,0,0,0,0,0,0,-0.03333668,0,0,12.43634,0,0,0,0,0,0,0,0.2465446,0.03333668,0.5620745,0,0,0,
0.0197455,0.1389284,0.1200025,0.02151179,271.0974,162.7756,27.70879,-0.204772,0.1190372,-0.0158217,280.4575,353.9858,194.3285,0,0,0,0,0,0,0,-0.03333668,0,0,11.16223,0,0,0,0,0,0,0,0.2474448,0.03333668,0.5666366,0,0,0,
0.0163905,0.1375935,0.1215231,0.02381516,270.9716,163.5143,26.95286,-0.2145276,0.1148932,-0.02745926,280.3561,354.8543,191.4107,0,0,0,0,0,0,0,-0.03333668,0,0,5.084368,0,0,0,0,0,0,0,0.2476603,0.03333668,0.569058,0,0,0,
0.0171193,0.1387415,0.1213503,0.02700663,271.0934,191.3625,358.4493,-0.2235522,0.1139081,-0.03748202,281.7449,356.3889,187.7725,0,0,0,0,0,0,0,-0.03333668,0,0,7.79129,0,0,0,0,0,0,0,0.2483405,0.03333668,0.5740294,0,0,0,
0.0176309,0.1365259,0.1201899,0.03416419,271.9851,150.5219,39.57846,-0.2321406,0.1098328,-0.04495859,283.0119,356.497,185.6232,0,0,0,0,0,0,0,-0.03333668,0,0,359.4358,0,0,0,0,0,0,0,0.2483147,0.03333668,0.5766466,0,0,0,
0.0171398,0.136668,0.1215978,0.0391736,271.1452,165.4478,24.63059,-0.2410105,0.1083837,-0.05277276,283.6638,355.1068,185.0343,0,0,0,0,0,0,0,-0.03333668,0,0,359.8814,0,0,0,0,0,0,0,0.2483036,0.03333668,0.582008,0,0,0,
0.0481534,0.1398263,0.1215363,0.0471077,271.3098,170.6139,19.51546,-0.2459501,0.08809447,-0.07176471,290.1532,19.23577,157.7017,0,0,0,0,0,0,0,-0.03333668,0,0,6.381287,0,0,0,0,0,0,0,0.2495082,0.03333668,0.5927789,0,0,0,
0.02197,0.1385522,0.1203799,0.05204272,271.48,129.4365,61.0024,-0.2634073,0.06256533,-0.06693017,273.3756,268.3123,266.8379,0,0,0,0,0,0,0,-0.03333668,0,0,1.901623,0,0,0,0,0,0,0,0.2496857,0.03333668,0.5981233,0,0,0,
0.0177031,0.1429884,0.1208999,0.06091356,270.8261,203.1628,347.0396,-0.2603076,0.09668183,-0.07371628,284.3463,338.1416,198.4572,0,0,0,0,0,0,0,-0.03333668,0,0,10.36086,0,0,0,0,0,0,0,0.2506488,0.03333668,0.6033913,0,0,0,
0.0166729,0.1397424,0.119724,0.06096745,271.1707,173.2002,17.16735,-0.2690641,0.08107662,-0.06543803,281.4185,351.1378,183.8655,0,0,0,0,0,0,0,-0.03333668,0,0,2.173973,0,0,0,0,0,0,0,0.2507519,0.03333668,0.606107,0,0,0,
0.0162425,0.1414143,0.1190093,0.06382942,271.3954,211.0687,338.6318,-0.2794273,0.07948256,-0.06837797,274.5667,323.2778,208.2625,0,0,0,0,0,0,0,-0.03333668,0,0,6.031836,0,0,0,0,0,0,0,0.251326,0.03333668,0.6115403,0,0,0,
0.0187727,0.1433163,0.1189816,0.07240462,271.2854,191.2193,358.7765,-0.279121,0.08524895,-0.06706452,277.051,341.1962,190.0351,0,0,0,0,0,0,0,-0.03333668,0,0,8.091836,0,0,0,0,0,0,0,0.2517042,0.03333668,0.6142005,0,0,0,
0.0170968,0.1430068,0.117548,0.07829022,271.0616,158.0025,31.96011,-0.2797443,0.09101534,-0.06582093,276.1371,356.8887,173.7076,0,0,0,0,0,0,0,-0.03333668,0,0,5.966475,0,0,0,0,0,0,0,0.2522447,0.03333668,0.619372,0,0,0,
0.038894,0.1480029,0.121655,0.08328104,271.4011,194.3847,355.277,-0.287559,0.09731317,-0.06479311,274.6004,344.268,184.96,0,0,0,0,0,0,0,-0.03333668,0,0,14.3301,0,0,0,0,0,0,0,0.2541086,0.03333668,0.6266682,0,0,0,
0.0193508,0.1475599,0.1209483,0.08723092,272.3607,136.7914,53.34802,-0.2870016,0.1025748,-0.06441069,271.8506,319.0665,210.6139,0,0,0,0,0,0,0,-0.03333668,0,0,11.23543,0,0,0,0,0,0,0,0.2549962,0.03333668,0.6311362,0,0,0,
0.0185933,0.14843,0.1229258,0.09341764,271.8663,215.4625,333.9185,-0.2850265,0.1062393,-0.06311703,271.6024,220.5299,311.0581,0,0,0,0,0,0,0,-0.03333668,0,0,10.49796,0,0,0,0,0,0,0,0.255793,0.03333668,0.6354366,0,0,0,
0.018632,0.1495965,0.1225944,0.0991962,271.3167,166.931,23.06181,-0.2769386,0.1036797,-0.04806626,274.0704,218.0283,313.5847,0,0,0,0,0,0,0,-0.03333668,0,0,10.69022,0,0,0,0,0,0,0,0.2562351,0.03333668,0.6377785,0,0,0,
0.0166847,0.1488266,0.1219683,0.1035805,271.5926,154.7914,34.90981,-0.2770792,0.1029799,-0.03620124,272.6612,49.05787,127.3305,0,0,0,0,0,0,0,-0.03333668,0,0,7.634547,0,0,0,0,0,0,0,0.2568877,0.03333668,0.6426471,0,0,0,
0.0223837,0.1499784,0.1243658,0.1083229,272.4627,221.9049,327.3291,-0.2844222,0.1054399,-0.02766442,275.0388,39.68398,135.8575,0,0,0,0,0,0,0,-0.03333668,0,0,336.3942,0,0,0,0,0,0,0,0.2549155,0.03333668,0.6471599,0,0,0,
0.0172722,0.1477854,0.1246991,0.1123257,272.4641,215.0412,334.1473,-0.2859462,0.10816,-0.02859664,273.014,263.1595,269.1768,0,0,0,0,0,0,0,-0.03333668,0,0,2.771733,0,0,0,0,0,0,0,0.2551399,0.03333668,0.6517928,0,0,0,
0.0409239,0.1466885,0.1256917,0.1166108,272.7536,239.4073,309.4318,-0.2835989,0.106391,-0.02847683,271.4637,230.4516,302.8293,0,0,0,0,0,0,0,-0.03333668,0,0,359.9161,0,0,0,0,0,0,0,0.2551304,0.03333668,0.6582182,0,0,0,
0.0188469,0.1439458,0.1250467,0.1202903,273.9155,243.5332,305.242,-0.2907348,0.1055706,-0.02538466,271.5257,6.425867,167.2517,0,0,0,0,0,0,0,-0.03333668,0,0,353.0543,0,0,0,0,0,0,0,0.2546295,0.03333668,0.6623306,0,0,0,
0.0160393,0.1400659,0.126857,0.1258678,274.2728,252.3814,295.7219,-0.289537,0.1074374,-0.03076792,271.5137,292.5753,240.9785,0,0,0,0,0,0,0,-0.03333668,0,0,345.685,0,0,0,0,0,0,0,0.2540874,0.03333668,0.6644548,0,0,0,
