Task;Timestamp;ComplTime;InitAngErr;EstPathLen;RecallTime
MW1;2023/03/23_12:13:54.795;26.54445;4.311843;798.939;0.03103256;
MW2;2023/03/23_12:14:15.694;18.88145;44.50087;681.1454;0.02008057;
