RoomScale;LiftedThreshold;0.03;StandingThreshold;0.1;SamplingRate;60;

Task;Timestamp;SecSinceStart;PlayerX;PlayerY;PlayerZ;LocomotionOffX;LocomotionOffY;LocomotionOffZ;PlayerRotX;PlayerRotY;PlayerRotZ;HeadPosX;HeadPosY;HeadPosZ;HeadRotX;HeadRotY;HeadRotZ;PlayerHorSpeed;LHandPosX;LHandPosY;LHandPosZ;LHandRotX;LHandRotY;LHandRotZ;RHandPosX;RHandPosY;RHandPosZ;RHandRotX;RHandRotY;RHandRotZ;LLegPosX;LLegPosY;LLegPosZ;LLegRotX;LLegRotY;LLegRotZ;LLHorSpeed;RLegPosX;RLegPosY;RLegPosZ;RLegRotX;RLegRotY;RLegRotZ;RLHorSpeed;HipPosX;HipPosY;HipPosZ;HipRotX;HipRotY;HipRotZ;HipHorSpeed;DirectionRotX;DirectionRotY;DirectionRotZ;AllTrackersWorking;TrackersNotWorking;RightLifted;RightStanding;LeftLifted;LeftStanding;StandingLeadingFoot;LiftedLeadingFoot;GWAngle;LocomotionSpeed;EWMA_Right;EWMA_Left;LAvgVelAngle;RAvgVelAngle;LAvgVelMag;RAvgVelMag;LiftedAngle;StandingAngle;HipAngle;HeadAngle;AvgFeetAngle
MW;2023/03/10_16:24:53.815;8.212533;0.2285784;0.230005;-0.4824427;0.2285784;0.03333665;-0.4824427;0;0;0;0;0;0;0;0;0;-0.154761;0;0;0;0;0;0;0;0;0;0;0;0;0.06493354;0.1341984;0.06910419;271.5611;302.6616;58.54837;0;0.1915896;0.2102685;-0.1598876;289.1036;5.971889;4.987602;0;0;0;0;0;0;0;47.93323;0;176.1648;0;True;;True;False;True;True;left;left;;0.1220668;0.1875653;0.2030485;176.1648;230.962;-0.1190529;-0.07612582;176.1648;356.1648;0;0;6.092995;
MW;2023/03/10_16:24:53.815;8.235301;0.2284143;0.230005;-0.4850959;0.2284143;0.03333665;-0.4850959;0;0;0;0;0;0;0;0;0;-0.1249075;0;0;0;0;0;0;0;0;0;0;0;0;0.06346881;0.132468;0.07017136;271.0653;337.7007;23.46826;0;0.1893235;0.2193842;-0.1579652;289.6615;5.185793;5.897326;0;0;0;0;0;0;0;48.15423;0;183.5379;0;True;;True;False;True;True;left;left;;0.1165563;0.1819815;0.1909987;183.5379;250.6499;-0.08774;-0.07021634;183.5379;3.537884;0;0;6.156473;
MW;2023/03/10_16:24:53.815;8.257057;0.2257351;0.230005;-0.4850171;0.2257351;0.03333665;-0.4850171;0;0;0;0;0;0;0;0;0;-0.1167573;0;0;0;0;0;0;0;0;0;0;0;0;0.06248856;0.1336048;0.07613516;272.0706;309.3911;51.6959;0;0.1874461;0.2286441;-0.1553885;290.6975;3.132512;8.134953;0;0;0;0;0;0;0;48.20054;0;271.6852;0;True;;True;False;True;True;right;right;;0.1175253;0.1778674;0.1982137;208.5782;271.6852;-0.02576646;-0.06889918;271.6852;91.68524;0;0;6.28816;
MW;2023/03/10_16:24:53.815;8.300335;0.2213531;0.230005;-0.4828656;0.2213531;0.03333665;-0.4828656;0;0;0;0;0;0;0;0;0;0.1231995;0;0;0;0;0;0;0;0;0;0;0;0;0.06229115;0.1336701;0.07497835;274.8788;339.8443;21.14923;0;0.1866665;0.237922;-0.1518269;291.7116;2.354308;9.176462;0;0;0;0;0;0;0;47.88526;0;296.1508;0;True;;True;False;True;True;right;right;;0.1015359;0.1589408;0.165974;202.6936;296.1508;-0.0243182;-0.05603615;296.1508;116.1508;0;0;6.449583;
MW;2023/03/10_16:24:53.815;8.327201;0.2202455;0.230005;-0.4806629;0.2202455;0.03333665;-0.4806629;0;0;0;0;0;0;0;0;0;0.07575363;0;0;0;0;0;0;0;0;0;0;0;0;0.06267929;0.1319573;0.0761168;272.5139;323.5656;37.61097;0.4137218;0.1873335;0.2551906;-0.1424857;294.8736;6.03512;5.680221;0.3935511;0;0;0;0;0;0;47.69986;0;340.8451;0;True;;True;False;True;True;right;right;;0.1155769;0.1847368;0.1851093;218.5936;340.8451;-0.006211767;-0.1053615;340.8451;160.8451;0;0;6.48156;
MW;2023/03/10_16:24:53.815;8.345507;0.2195588;0.230005;-0.4781343;0.2195588;0.03333665;-0.4781343;0;0;0;0;0;0;0;0;0;0.1170693;0;0;0;0;0;0;0;0;0;0;0;0;0.06253695;0.1318555;0.07253218;272.575;326.381;34.69447;0;0.1869172;0.2614491;-0.1381744;295.5758;7.589074;4.727801;0;0;0;0;0;0;0;47.46551;0;344.8076;0;True;;True;False;True;True;right;right;;0.1148872;0.1852415;0.1823975;187.4168;344.8076;-0.03324621;-0.1197235;344.8076;164.8076;0;0;6.666354;
MW;2023/03/10_16:24:53.815;8.367702;0.2193037;0.230005;-0.4755192;0.2193037;0.03333665;-0.4755192;0;0;0;0;0;0;0;0;0;0.1431403;0;0;0;0;0;0;0;0;0;0;0;0;0.06276083;0.1312809;0.06851244;273.1473;333.1248;27.93025;0;0.188507;0.2667003;-0.1338615;295.8599;9.875116;2.63665;0;0;0;0;0;0;0;47.2376;0;354.4289;0;True;;True;False;True;True;right;right;;0.1152049;0.1868308;0.1818248;181.6071;354.4289;-0.05928732;-0.1291313;354.4289;174.4289;0;0;6.642143;
MW;2023/03/10_16:24:53.815;8.389534;0.2191498;0.230005;-0.4729943;0.2191498;0.03333665;-0.4729943;0;0;0;0;0;0;0;0;0;0.1183839;0;0;0;0;0;0;0;0;0;0;0;0;0.06316698;0.1315806;0.06835151;271.6209;293.729;67.60096;0;0.1886879;0.2703755;-0.1291089;297.6582;12.43332;0.2264705;0;0;0;0;0;0;0;47.02001;0;356.5131;0;True;;True;False;True;True;right;right;;0.1109098;0.1889469;0.1659645;177.7434;356.5131;-0.04934566;-0.1428627;356.5131;176.5131;0;0;6.668637;
MW;2023/03/10_16:24:53.815;8.414227;0.2191133;0.230005;-0.4755058;0.2191133;0.03333665;-0.4755058;0;0;0;0;0;0;0;0;0;-0.09829341;0;0;0;0;0;0;0;0;0;0;0;0;0.06263888;0.1318164;0.06590629;273.0936;332.7924;28.38416;-0.2559721;0.1895391;0.2770002;-0.1220038;299.2117;14.3247;358.1912;0.2839516;0;0;0;0;0;0;47.01904;0;182.8427;0;True;;True;False;True;True;left;left;;0.114525;0.2022805;0.1641995;182.8427;359.8826;-0.06235201;0.1758875;182.8427;2.842711;0;0;6.359514;
MW;2023/03/10_16:24:53.815;8.446803;0.2190536;0.230005;-0.4791804;0.2190536;0.03333665;-0.4791804;0;0;0;0;0;0;0;0;0;-0.1054369;0;0;0;0;0;0;0;0;0;0;0;0;0.06282735;0.1316459;0.0647099;272.5816;327.6342;33.53194;0;0.1901166;0.2768881;-0.118169;298.2218;13.93801;358.1644;0;0;0;0;0;0;0;47.32441;0;180.9319;0;True;;True;False;True;True;left;left;;0.1046498;0.1891799;0.1456993;180.9319;1.447768;-0.05412754;0.1562273;180.9319;0.931915;0;0;6.188345;
