dt,leftfoot_px,leftfoot_py,leftfoot_pz,leftfoot_rx,leftfoot_ry,leftfoot_rz,rightfoot_px,rightfoot_py,rightfoot_pz,rightfoot_rx,rightfoot_ry,rightfoot_rz,hip_px,hip_py,hip_pz,hip_rx,hip_ry,hip_rz,direction_px,direction_py,direction_pz,direction_rx,direction_ry,direction_rz,head_px,head_py,head_pz,head_rx,head_ry,head_rz,locomotionPoint_px,locomotionPoint_py,locomotionPoint_pz,locomotionPoint_rx,locomotionPoint_ry,locomotionPoint_rz,
0.0224473,0.03354096,0.1675065,0.03495216,274.486,8.691382,353.2031,0.4033804,0.2216995,-0.1186105,277.3624,284.8081,78.52267,0,0,0,0,0,0,-0.2027438,-0.01889133,-0.288986,0,16.78488,0,-0.2027438,0.04340109,-0.288986,347.1066,272.614,0.2819504,0.4809048,0.01885879,0.8258981,0,0,0,
0.0231914,0.03190756,0.1618443,0.0446198,273.733,9.604422,352.3681,0.4072878,0.22436,-0.1248139,277.6432,286.5661,76.39526,0,0,0,0,0,0,-0.202839,-0.01887631,-0.288996,0,355.7251,0,-0.202839,0.04339872,-0.288996,347.1123,272.616,0.2885526,0.480432,0.01886749,0.832223,0,0,0,
0.0626502,0.03120875,0.1573277,0.05380249,273.1689,23.35818,338.5939,0.4135867,0.2268193,-0.1308706,277.9881,285.7742,77.18858,0,0,0,0,0,0,-0.2028469,-0.01883543,-0.2890273,0,336.1145,0,-0.2028469,0.04350086,-0.2890273,347.1117,272.6198,0.2941706,0.4736532,0.01883686,0.8475307,0,0,0,
0.0169256,0.02991688,0.1527853,0.06239867,272.6916,40.1104,321.8377,0.3952758,0.217169,-0.1265452,277.7059,288.6297,74.59483,0,0,0,0,0,0,-0.2028527,-0.0188477,-0.2890029,0,90.56319,0,-0.2028527,0.04347777,-0.2890029,347.124,272.6017,0.3047933,0.4788529,0.01884234,0.8474795,0,0,0,
0.0115966,0.02985752,0.1489444,0.07130265,272.6212,51.61823,310.2679,0.3993574,0.22016,-0.1326391,277.5162,288.0274,75.03024,0,0,0,0,0,0,-0.2027732,-0.01884234,-0.2890846,0,47.14889,0,-0.2027732,0.04344761,-0.2890846,347.1067,272.6242,0.283546,0.4807661,0.01886004,0.8492543,0,0,0,
0.011253,0.03022671,0.1474881,0.07635021,272.5987,56.49533,305.3105,0.3837618,0.2103662,-0.1296451,276.7137,293.5461,69.84267,0,0,0,0,0,0,-0.2028362,-0.01886004,-0.2890291,0,85.04974,0,-0.2028361,0.04350168,-0.2890291,347.1037,272.6187,0.2929047,0.4834967,0.01882416,0.8494908,0,0,0,
0.0107518,0.03031206,0.1455119,0.08126593,272.7617,61.86536,299.8949,0.3869209,0.21223,-0.1358761,277.5307,282.3469,81.47389,0,0,0,0,0,0,-0.2028395,-0.01882416,-0.2890451,0,60.30709,0,-0.2028395,0.04346729,-0.2890451,347.1156,272.6088,0.3003673,0.4858879,0.01885927,0.8508543,0,0,0,
0.0191609,0.03103673,0.1440673,0.08536243,272.8764,68.73469,292.9042,0.3772368,0.2060204,-0.1345955,277.4391,283.0307,80.19516,0,0,0,0,0,0,-0.2028422,-0.01885927,-0.2890753,0,76.6409,0,-0.2028422,0.04346789,-0.2890753,347.118,272.6105,0.2939627,0.4886016,0.01884139,0.8514988,0,0,0,
0.0221736,0.03147244,0.1423457,0.08900547,272.8177,73.91193,287.5973,0.3815273,0.2073781,-0.1397376,277.4291,288.82,75.12972,0,0,0,0,0,0,-0.2028082,-0.01884812,-0.2890044,0,53.19844,0,-0.2028082,0.04347236,-0.2890044,347.1149,272.6024,0.301607,0.4929411,0.01884478,0.8547453,0,0,0,
0.0329891,0.03100252,0.1397662,0.09265041,272.321,78.92299,282.4391,0.3699815,0.2036288,-0.1418717,277.5248,283.5039,80.0471,0,0,0,0,0,0,-0.2027544,-0.0188213,-0.2888656,0,67.67773,0,-0.2027544,0.04356951,-0.2888656,347.12,272.6337,0.2783439,0.5000682,0.01880962,0.8576716,0,0,0,
0.0331375,0.03119278,0.1386673,0.09440613,271.4974,81.30434,279.8814,0.3685853,0.1997972,-0.1453383,277.4517,287.0451,76.38548,0,0,0,0,0,0,-0.2026485,-0.01881629,-0.2888407,0,56.27625,0,-0.2026485,0.04355437,-0.2888407,347.1327,272.6141,0.2958367,0.5057255,0.01881969,0.8614479,0,0,0,
0.0332333,0.03158331,0.1363974,0.09770107,270.7116,83.41712,277.589,0.362614,0.1984203,-0.1481121,276.4477,291.7422,71.3292,0,0,0,0,0,0,-0.2027071,-0.01884609,-0.2888404,0,60.56648,0,-0.2027071,0.04344529,-0.2888404,347.1284,272.6239,0.2904489,0.5111121,0.01885933,0.8644872,0,0,0,
0.0334499,0.03185129,0.1352339,0.0999794,270.0685,0.9213089,0,0.3649424,0.1999204,-0.154871,277.1918,288.2351,75.31493,0,0,0,0,0,0,-0.2028129,-0.0188399,-0.2889417,0,19.93401,0,-0.2028129,0.04350961,-0.2889417,347.1208,272.6089,0.2895764,0.5130348,0.01883024,0.8697887,0,0,0,
0.0319951,0.03174067,0.1346569,0.1019344,270.7836,292.231,68.52515,0.3612499,0.1965482,-0.1567625,277.5233,285.1095,78.06815,0,0,0,0,0,0,-0.2027771,-0.01883453,-0.2888634,0,38.1968,0,-0.2027772,0.04350217,-0.2888634,347.1467,272.621,0.2996046,0.5161592,0.01883668,0.8737597,0,0,0,
0.0326983,0.03168964,0.1338501,0.1036482,271.7418,292.7683,67.92854,0.3588109,0.1973436,-0.162357,277.159,284.0641,78.98969,0,0,0,0,0,0,-0.2027475,-0.01888633,-0.2890223,0,29.85646,0,-0.2027475,0.0433015,-0.2890223,347.0994,272.6041,0.3010315,0.5184547,0.01891106,0.8777586,0,0,0,
0.0333165,0.03130007,0.1336215,0.1052897,272.9716,298.8707,61.7831,0.3557914,0.1962531,-0.1685039,277.7705,285.7489,77.19656,0,0,0,0,0,0,-0.2028205,-0.01887929,-0.2889867,0,27.798,0,-0.2028205,0.04340401,-0.2889867,347.1152,272.6176,0.2824079,0.5204402,0.01886338,0.8815249,0,0,0,
0.033254,0.03194702,0.1332998,0.107197,274.481,301.3041,59.46915,0.3588821,0.197119,-0.1742022,276.653,286.7024,76.48094,0,0,0,0,0,0,-0.2027201,-0.01885378,-0.288937,0,359.2024,0,-0.2027201,0.0434581,-0.288937,347.1263,272.6209,0.2630972,0.5203851,0.01884907,0.8854779,0,0,0,
0.0333882,0.03359771,0.1358042,0.1076648,275.4441,320.794,40.4425,0.3666344,0.2005861,-0.1808254,277.1074,280.6013,82.47604,0,0,0,0,0,0,-0.2026789,-0.01886106,-0.2889878,0,327.7003,0,-0.2026789,0.043415,-0.2889878,347.1228,272.5988,0.2842495,0.518347,0.01886696,0.8887019,0,0,0,
0.0334056,0.03418279,0.1367016,0.1063805,275.6137,356.1233,4.969192,0.3699443,0.2012558,-0.1873546,277.3873,287.4117,75.63369,0,0,0,0,0,0,-0.2026552,-0.01886129,-0.2889229,0,270.6454,0,-0.2026552,0.04343211,-0.2889229,347.1235,272.6167,0.2930471,0.5147657,0.01885831,0.8887422,0,0,0,
0.0330988,0.03328824,0.1340714,0.1022613,273.162,355.5061,5.771917,0.373081,0.2022548,-0.1929584,277.4924,281.1976,82.28514,0,0,0,0,0,0,-0.2027171,-0.0188216,-0.2889778,0,1.405452,0,-0.2027171,0.04358213,-0.2889778,347.1228,272.6248,0.2885611,0.5148504,0.01880312,0.8921912,0,0,0,
0.0336612,0.03348279,0.1317298,0.09864497,273.3926,348.2905,13.14963,0.375861,0.2033365,-0.1985829,277.8087,287.0097,76.33929,0,0,0,0,0,0,-0.2027128,-0.01881319,-0.2889601,0,358.5735,0,-0.2027128,0.04356038,-0.2889601,347.1254,272.6067,0.2928053,0.5147679,0.0188182,0.895501,0,0,0,
0.0352248,0.03419423,0.1295772,0.09314585,273.0452,350.6899,10.45352,0.3794588,0.2059784,-0.2051098,277.2924,287.834,75.3088,0,0,0,0,0,0,-0.202749,-0.01885921,-0.2890846,0,354.6851,0,-0.202749,0.04339142,-0.2890846,347.1341,272.6087,0.2971351,0.514462,0.01887971,0.8987889,0,0,0,
0.0320367,0.03269267,0.1306813,0.08855486,270.945,348.6556,12.40118,0.3816715,0.2075491,-0.2108847,277.3033,286.7434,76.5845,0,0,0,0,0,0,-0.2028497,-0.01886767,-0.289121,0,7.038373,0,-0.2028497,0.04341935,-0.289121,347.1156,272.6116,0.308676,0.5148571,0.01886147,0.9019884,0,0,0,
0.0349499,0.03262711,0.1338084,0.08532429,273.6706,346.666,14.77787,0.3838732,0.2088051,-0.2166538,277.4897,287.3988,75.64079,0,0,0,0,0,0,-0.2028567,-0.01881236,-0.288927,0,4.613127,0,-0.2028567,0.0436221,-0.288927,347.1225,272.603,0.2976844,0.5150275,0.0187878,0.9041003,0,0,0,
0.0308417,0.03260469,0.1322899,0.08040714,274.6748,345.8521,15.45645,0.3861927,0.210393,-0.2233583,277.6483,290.1851,73.35347,0,0,0,0,0,0,-0.2027796,-0.01879454,-0.288945,0,2.213894,0,-0.2027796,0.04361965,-0.288945,347.1278,272.61,0.2931897,0.5151089,0.01879793,0.9062081,0,0,0,
0.0333818,0.03386569,0.1318069,0.07371521,272.741,351.4679,9.463329,0.3883928,0.2119007,-0.2294918,277.8699,288.2328,75.46962,0,0,0,0,0,0,-0.2027277,-0.01882905,-0.2890137,0,354.4937,0,-0.2027277,0.04349183,-0.2890137,347.1286,272.6047,0.3146464,0.5149043,0.01884454,0.9083316,0,0,0,
0.0353356,0.03423607,0.1326723,0.07191062,270.807,4.89943,355.9445,0.3907099,0.2134876,-0.2357785,277.7612,290.8665,72.78753,0,0,0,0,0,0,-0.2027774,-0.01884866,-0.2889405,0,353.0238,0,-0.2027774,0.04345996,-0.2889405,347.113,272.6145,0.2967515,0.5147774,0.01885074,0.9093687,0,0,0,
0.0333158,0.03572428,0.1327386,0.06721687,273.656,345.0136,15.99866,0.3916427,0.2156186,-0.2431426,277.8917,297.4094,66.09105,0,0,0,0,0,0,-0.2027235,-0.01886952,-0.2889105,0,347.1,0,-0.2027235,0.04338294,-0.2889105,347.1214,272.604,0.2904168,0.5145429,0.01887876,0.9103923,0,0,0,
0.0338992,0.03394151,0.1311059,0.06382465,272.8503,344.2413,16.79569,0.3930534,0.2190764,-0.2497408,278.6993,289.6486,74.24282,0,0,0,0,0,0,-0.2026802,-0.01887757,-0.2888799,0,5.712442,0,-0.2026802,0.04337844,-0.2888799,347.1187,272.6061,0.3159454,0.5146457,0.01887703,0.9114197,0,0,0,
0.0336878,0.03380442,0.131705,0.05833936,271.3565,307.6633,53.53686,0.3944799,0.2221198,-0.2571421,278.9101,293.3482,70.95731,0,0,0,0,0,0,-0.2027877,-0.01885748,-0.2887691,0,3.237085,0,-0.2027877,0.04345733,-0.2887691,347.1177,272.5832,0.3079215,0.5147049,0.01884764,0.9124662,0,0,0,
0.0328033,0.03485537,0.1310093,0.05396223,272.3025,319.4743,41.92097,0.3966409,0.2275534,-0.2645323,278.8264,290.3532,73.63605,0,0,0,0,0,0,-0.2028604,-0.01880604,-0.288921,0,355.1867,0,-0.2028604,0.04363346,-0.288921,347.138,272.6114,0.3111097,0.5146167,0.01878524,0.9135136,0,0,0,
0.0345183,0.03375864,0.1319385,0.05191517,271.6508,359.4312,1.519659,0.3980148,0.2328491,-0.2716247,279.897,304.442,59.57351,0,0,0,0,0,0,-0.2027178,-0.01881552,-0.2890038,0,5.894926,0,-0.2027178,0.04353324,-0.2890038,347.1274,272.6137,0.3148713,0.5147215,0.0188306,0.9145287,0,0,0,
0.0206747,0.03389907,0.131906,0.04896116,273.3532,328.0021,33.07828,0.3983047,0.2410047,-0.2770668,279.9737,305.4681,58.68702,0,0,0,0,0,0,-0.2027379,-0.0188514,-0.2889181,0,1.939983,0,-0.2027379,0.0434767,-0.2889181,347.1226,272.6079,0.3104313,0.5147215,0.01884091,0.9145287,0,0,0,
0.0221423,0.03399551,0.1314826,0.04650736,272.4985,319.0991,42.21577,0.3991913,0.2505441,-0.2797287,281.0969,305.5988,58.94823,0,0,0,0,0,0,-0.2027317,-0.01882929,-0.2889342,0,0.3731307,0,-0.2027317,0.04351057,-0.2889342,347.1273,272.6239,0.3140109,0.5147215,0.01883513,0.9145287,0,0,0,
0.0226505,0.0349226,0.1325922,0.04549384,271.7268,2.779854,358.1228,0.3996484,0.2637343,-0.2790473,284.8577,328.9533,36.58978,0,0,0,0,0,0,-0.2027259,-0.01884627,-0.2888727,0,350.2088,0,-0.2027259,0.04348236,-0.2888727,347.1289,272.6023,0.3276499,0.5147215,0.01884067,0.9145287,0,0,0,
