RoomScale;LiftedThreshold;0.03;StandingThreshold;0.1;SamplingRate;60;

Task;Timestamp;SecSinceStart;PlayerX;PlayerY;PlayerZ;LocomotionOffX;LocomotionOffY;LocomotionOffZ;PlayerRotX;PlayerRotY;PlayerRotZ;HeadPosX;HeadPosY;HeadPosZ;HeadRotX;HeadRotY;HeadRotZ;PlayerHorSpeed;LHandPosX;LHandPosY;LHandPosZ;LHandRotX;LHandRotY;LHandRotZ;RHandPosX;RHandPosY;RHandPosZ;RHandRotX;RHandRotY;RHandRotZ;LLegPosX;LLegPosY;LLegPosZ;LLegRotX;LLegRotY;LLegRotZ;LLHorSpeed;RLegPosX;RLegPosY;RLegPosZ;RLegRotX;RLegRotY;RLegRotZ;RLHorSpeed;HipPosX;HipPosY;HipPosZ;HipRotX;HipRotY;HipRotZ;HipHorSpeed;DirectionRotX;DirectionRotY;DirectionRotZ;AllTrackersWorking;TrackersNotWorking;RightLifted;RightStanding;LeftLifted;LeftStanding;StandingLeadingFoot;LiftedLeadingFoot;GWAngle;LocomotionSpeed;EWMA_Right;EWMA_Left;LAvgVelAngle;RAvgVelAngle;LAvgVelMag;RAvgVelMag;LiftedAngle;StandingAngle;HipAngle;HeadAngle;AvgFeetAngle
MW;2023/03/09_15:52:00.852;0.009914398;0.1021626;0.230005;0.6026734;0.1021626;0.03333665;0.6026734;0;0;0;0;0;0;0;0;0;0.232394;0;0;0;0;0;0;0;0;0;0;0;0;-0.0465889;0.1027822;-0.1132593;280.4957;43.40904;301.5512;0;0.009848356;0.04962301;-0.06549001;276.643;294.8595;71.57742;0;0;0;0;0;0;0;-122.0969;0;66.68671;0;True;;False;True;False;True;right;right;;0.2897292;0.300028;0.8588889;248.4694;246.6867;0.1533781;-0.265007;246.6867;66.68671;0;0;355.5633;
MW;2023/03/09_15:52:00.852;0.04304886;0.1115307;0.230005;0.6067602;0.1115307;0.03333665;0.6067602;0;0;0;0;0;0;0;0;0;0.3505213;0;0;0;0;0;0;0;0;0;0;0;0;-0.03654432;0.08583879;-0.1133564;280.6394;329.3185;16.57634;0;-0.0001506805;0.03928685;-0.07062125;277.5467;302.9077;62.8222;0;0;0;0;0;0;0;-123.2164;0;63.26294;0;True;;False;True;False;True;right;right;;0.2797416;0.3033206;0.815646;123.1312;243.2629;-0.1385033;-0.2767128;243.2629;63.26294;0;0;356.1206;
MW;2023/03/09_15:52:00.852;0.07618141;0.1201023;0.230005;0.610252;0.1201023;0.03333665;0.610252;0;0;0;0;0;0;0;0;0;0.2559572;0;0;0;0;0;0;0;0;0;0;0;0;-0.04088342;0.08866215;-0.1038051;275.6301;7.563001;338.6392;0;-0.007885456;0.03507996;-0.07234049;277.8602;307.3745;59.24547;0;0;0;0;0;0;0;-124.2685;0;69.0108;0;True;;False;True;False;True;right;right;;0.2319034;0.2746102;0.6530033;0.9342304;249.0108;0.07128447;-0.2290757;249.0108;69.0108;0;0;356.4917;
MW;2023/03/09_15:52:00.853;0.1093121;0.1265207;0.230005;0.6127032;0.1265207;0.03333665;0.6127032;0;0;0;0;0;0;0;0;0;0.2134946;0;0;0;0;0;0;0;0;0;0;0;0;-0.03518331;0.09648514;-0.1099324;274.7142;355.915;350.8908;0;-0.01747179;0.02937555;-0.07733727;276.9832;310.4073;55.91512;0;0;0;0;0;0;0;-124.9965;0;63.93064;0;True;;False;True;False;True;right;right;;0.2117916;0.2960868;0.5510798;122.7785;243.9306;-0.08802573;-0.271796;243.9306;63.93064;0;0;356.6526;
MW;2023/03/09_15:52:00.853;0.1436043;0.1324486;0.230005;0.6154375;0.1324486;0.03333665;0.6154375;0;0;0;0;0;0;0;0;0;0.2668286;0;0;0;0;0;0;0;0;0;0;0;0;-0.03070688;0.1029537;-0.1058772;276.0945;1.4409;345.4721;0;-0.03275168;0.0134511;-0.08385587;277.4279;279.9223;86.10709;0;0;0;0;0;0;0;-125.9057;0;65.67999;0;True;;False;True;False;True;right;right;;0.1950971;0.3385482;0.4418403;77.53815;245.68;-0.1023075;-0.3386068;245.68;65.67999;0;0;356.4735;
MW;2023/03/09_15:52:00.853;0.1767387;0.1324486;0.230005;0.6154375;0.1324486;0.03333665;0.6154375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.02588892;0.1028335;-0.1080552;276.1281;9.144978;337.8218;0;-0.04225516;0.01184368;-0.08604872;277.4737;301.6279;64.80561;0;0;0;0;0;0;0;-125.9057;0;65.67999;0;True;;False;True;False;True;right;right;;0.1684544;0.3222907;0.3515269;97.78857;250.4823;-0.1115522;-0.3087167;250.4823;65.67999;0;0;356.7534;
MW;2023/03/09_15:52:00.853;0.2098713;0.1324486;0.230005;0.6154375;0.1324486;0.03333665;0.6154375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.02187693;0.09968805;-0.1096255;275.2693;4.074877;342.7965;0;-0.05209875;0.003776789;-0.09279072;277.9695;296.4954;70.20585;0;0;0;0;0;0;0;-125.9057;0;70.48232;0;True;;False;True;False;True;right;right;;0.1587205;0.3369664;0.2979155;102.1548;243.0556;-0.114149;-0.32855;243.0556;70.48232;0;0;356.8542;
MW;2023/03/09_15:52:00.853;0.2430058;0.1324486;0.230005;0.6154375;0.1324486;0.03333665;0.6154375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.01874602;0.09776402;-0.1103687;276.259;357.5025;349.5186;0;-0.06163311;-0.004233599;-0.0961591;277.6384;302.6354;64.49014;0;0;0;0;0;0;0;-125.9057;0;66.32212;0;True;;False;True;False;True;right;right;;0.1405421;0.3200341;0.2421342;98.50941;246.015;-0.0990235;-0.297213;246.015;66.32212;0;0;357.1628;
MW;2023/03/09_15:52:00.853;0.2761383;0.1324486;0.230005;0.6154375;0.1324486;0.03333665;0.6154375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.01431108;0.09361839;-0.1116593;276.1255;5.406086;341.4135;0;-0.07474041;-0.01262689;-0.1002111;276.787;301.436;65.25658;0;0;0;0;0;0;0;-125.9057;0;66.01502;0;True;;False;True;False;True;right;right;;0.1344711;0.3312311;0.2066532;103.9616;250.0954;-0.1041449;-0.3083638;250.0954;66.01502;0;0;356.8027;
MW;2023/03/09_15:52:00.853;0.3092709;0.1324486;0.230005;0.6154375;0.1324486;0.03333665;0.6154375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.0136081;0.09110284;-0.1160027;275.1358;4.92911;342.1978;0;-0.08740652;-0.02276516;-0.1043868;277.0116;299.6694;67.32347;0;0;0;0;0;0;0;-125.9057;0;66.01502;0;True;;False;True;False;True;right;right;;0.1384728;0.3592791;0.1946122;139.1121;251.9703;-0.104665;-0.3559707;251.9703;66.01502;0;0;357.1154;
