Task;Timestamp;ComplTime;InitAngErr;EstPathLen;RecallTime
MW1;2023/03/10_15:32:34.003;16.85556;16.91909;546.7601;0.01584625;
MW2;2023/03/10_15:32:48.012;11.41849;101.4605;292.7262;0.02069473;
