Task;Timestamp;ComplTime;InitAngErr;EstPathLen;RecallTime
MW1;2023/03/03_15:09:34.404;6.677776;34.82919;249.7176;0.03516769;
MW2;2023/03/03_15:09:44.408;7.986862;96.50311;264.955;0.01068115;
MW3;2023/03/03_15:09:57.563;11.15871;70.98801;587.301;0.02787018;
MW4;2023/03/03_15:10:20.097;20.51942;35.69563;2077.766;0.01052094;
MW5;2023/03/03_15:10:32.258;10.14182;44.88181;463.2753;0.02204895;
MW6;2023/03/03_15:10:43.653;9.113472;51.10681;614.6782;0.01062775;
