RoomScale;LiftedThreshold;0.03;StandingThreshold;0.1;SamplingRate;60;

Task;Timestamp;SecSinceStart;PlayerX;PlayerY;PlayerZ;LocomotionOffX;LocomotionOffY;LocomotionOffZ;PlayerRotX;PlayerRotY;PlayerRotZ;HeadPosX;HeadPosY;HeadPosZ;HeadRotX;HeadRotY;HeadRotZ;PlayerHorSpeed;LHandPosX;LHandPosY;LHandPosZ;LHandRotX;LHandRotY;LHandRotZ;RHandPosX;RHandPosY;RHandPosZ;RHandRotX;RHandRotY;RHandRotZ;LLegPosX;LLegPosY;LLegPosZ;LLegRotX;LLegRotY;LLegRotZ;LLHorSpeed;RLegPosX;RLegPosY;RLegPosZ;RLegRotX;RLegRotY;RLegRotZ;RLHorSpeed;HipPosX;HipPosY;HipPosZ;HipRotX;HipRotY;HipRotZ;HipHorSpeed;DirectionRotX;DirectionRotY;DirectionRotZ;AllTrackersWorking;TrackersNotWorking;RightLifted;RightStanding;LeftLifted;LeftStanding;StandingLeadingFoot;LiftedLeadingFoot;GWAngle;LocomotionSpeed;EWMA_Right;EWMA_Left;LAvgVelAngle;RAvgVelAngle;LAvgVelMag;RAvgVelMag;LiftedAngle;StandingAngle;HipAngle;HeadAngle;AvgFeetAngle
Custom;2023/03/14_17:32:43.359;0.0100174;2.344814;0.4674287;2.116591;2.322022;-5.960464E-08;2.036294;0;0;0;0.02130386;0.5748598;0.08735928;342.3796;354.9561;359.6809;0.5990206;0;0;0;0;0;0;0;0;0;0;0;0;-0.2995694;0.1120358;-0.2663536;271.23;65.73483;282.5205;-0.3463331;-0.09513664;0.07186699;-0.009817362;275.6276;202.8333;156.5111;-0.8986074;0;0;0;0;0;0;-277.637;0;348.3042;0;True;;False;True;False;True;left;none;;0.6498658;1.482834;0.5967365;168.3042;275.263;-0.5624669;-0.07294939;353.2847;348.3042;0;354.9561;353.7366;
Custom;2023/03/14_17:32:43.359;0.05011368;2.338878;0.4674422;2.144107;2.316193;0;2.062996;0;0;0;0.02131962;0.5748843;0.08733869;342.381;354.9553;359.6871;0.5863399;0;0;0;0;0;0;0;0;0;0;0;0;-0.2967507;0.1181195;-0.2762322;271.4929;9.340299;338.5073;0;-0.08833569;0.07455015;-0.01228666;273.4971;195.5813;163.5354;0;0;0;0;0;0;0;-278.8748;0;347.6331;0;True;;False;True;False;True;left;none;;0.5738031;1.309207;0.5269634;167.6331;228.1276;-0.4407801;-0.01120826;353.2847;347.6331;0;354.9554;353.4603;
Custom;2023/03/14_17:32:43.359;0.06767654;2.337513;0.4674422;2.150335;2.314778;0;2.069277;0;0;0;0.02130856;0.5749009;0.08736718;342.3935;354.9592;359.6818;1.356899;0;0;0;0;0;0;0;0;0;0;0;0;-0.2940366;0.1388421;-0.2830718;277.4074;357.7789;349.6924;-0.7008532;-0.07002246;0.09712124;-0.001505136;275.6139;195.8213;162.5409;1.49512;0;0;0;0;0;0;-279.1553;0;347.2994;0;True;;False;True;False;True;left;none;;0.579425;1.318502;0.5356579;167.2995;29.05527;-0.4667426;0.139942;353.2847;347.2994;0;354.9589;353.0152;
Custom;2023/03/14_17:32:43.359;0.08734894;2.334719;0.467427;2.162753;2.31206;0;2.081335;0;0;0;0.02136418;0.5748616;0.0873461;342.3893;354.9571;359.6765;0.7584125;0;0;0;0;0;0;0;0;0;0;0;0;-0.2917152;0.1607475;-0.2821932;282.8615;354.9557;352.1245;0.3101236;-0.07372689;0.1041329;-0.0009560585;275.1904;183.6816;174.1198;-0.3483025;0;0;0;0;0;0;-279.7119;0;347.2994;0;True;;False;True;True;True;right;left;;0.5472377;1.236678;0.5144824;163.1771;55.81602;-0.3723406;0.1268402;163.1771;347.2994;0;354.9571;352.3857;
Custom;2023/03/14_17:32:43.359;0.1097679;2.332138;0.4674119;2.174428;2.309504;-5.960464E-08;2.092679;0;0;0;0.02130108;0.5748508;0.08730103;342.3875;354.9533;359.6912;0.5471878;0;0;0;0;0;0;0;0;0;0;0;0;-0.2927271;0.1760275;-0.2754118;287.3449;350.4775;356.3978;-0.4418085;-0.07434738;0.1089869;0.004540682;278.4395;199.9419;158.0374;0.3515667;0;0;0;0;0;0;-280.2391;0;347.2994;0;True;;False;True;True;True;right;left;;0.5162236;1.14282;0.5090954;161.9278;37.33309;-0.2443517;0.1329387;161.9278;347.2994;0;354.9533;352.3357;
Custom;2023/03/14_17:32:43.359;0.1321449;2.32959;0.4674084;2.18537;2.30709;5.960464E-08;2.103389;0;0;0;0.02128495;0.5748283;0.08728868;342.3836;354.9544;359.6724;0.5068271;0;0;0;0;0;0;0;0;0;0;0;0;-0.2952564;0.1972861;-0.2687616;293.4523;350.9683;356.3487;0.5725019;-0.07560885;0.114455;0.003185749;274.6505;199.4387;158.2114;-0.2920462;0;0;0;0;0;0;-280.739;0;347.2994;0;True;;False;True;True;True;right;left;;0.4883085;1.054388;0.5081993;164.7081;37.24595;-0.1379648;0.09015816;164.7081;347.2994;0;354.9544;352.5074;
Custom;2023/03/14_17:32:43.359;0.1543808;2.327212;0.4673892;2.195864;2.304801;0;2.113545;0;0;0;0.02127492;0.5747696;0.08733809;342.3825;354.9662;359.6756;0.4915671;0;0;0;0;0;0;0;0;0;0;0;0;-0.2922093;0.211314;-0.2663796;298.7399;350.0685;357.5283;-0.3042664;-0.07620418;0.1185408;0.01159382;277.3256;187.7767;169.6675;0.4654571;0;0;0;0;0;0;-281.2154;0;347.2994;0;True;;False;True;True;False;right;left;;0.4626673;0.9888045;0.491731;146.721;16.56291;-0.1024069;0.1365366;146.721;347.2994;0;354.9662;352.6175;
Custom;2023/03/14_17:32:43.360;0.1771431;2.324959;0.467396;2.205971;2.302502;-5.960464E-08;2.123744;0;0;0;0.02129521;0.5747819;0.08736193;342.3875;354.9595;359.6752;0.4468566;0;0;0;0;0;0;0;0;0;0;0;0;-0.2877886;0.2254245;-0.2727106;298.9009;351.1743;356.6729;0.8571866;-0.07061803;0.1278069;0.007585764;274.1207;182.2346;175.0101;-0.8525634;0;0;0;0;0;0;-281.6786;0;347.2994;0;True;;False;True;True;False;right;left;;0.472066;0.9727784;0.5378326;144.9794;49.21786;-0.1506732;0.0996861;144.9794;347.2994;0;354.9595;352.624;
Custom;2023/03/14_17:32:43.360;0.206604;2.321607;0.4674159;2.220877;2.2993;0;2.137952;0;0;0;0.02129326;0.5748318;0.0874203;342.3786;354.9611;359.6717;0.4633284;0;0;0;0;0;0;0;0;0;0;0;0;-0.2908273;0.2332261;-0.2723849;300.5162;352.7124;354.8247;0;-0.07076418;0.1191578;0.01112604;274.1617;198.9255;158.9265;0;0;0;0;0;0;0;-282.3631;0;347.2994;0;True;;False;True;True;False;right;left;;0.4147227;0.8484261;0.4786866;154.9767;36.36817;-0.09665152;0.0910012;154.9767;347.2994;0;354.9611;352.6596;
Custom;2023/03/14_17:32:43.360;0.2262421;2.320594;0.4674159;2.225372;2.298182;0;2.142912;0;0;0;0.02124631;0.5748633;0.08744244;342.3839;354.954;359.6797;0.6685111;0;0;0;0;0;0;0;0;0;0;0;0;-0.2874388;0.2629509;-0.2625899;307.5054;352.4902;355.0737;-2.285215;-0.08510906;0.1021516;-0.006818295;276.2997;210.63;146.6787;-1.788194;0;0;0;0;0;0;-282.5716;0;347.2994;0;True;;False;True;True;False;right;left;;0.4576336;0.8954145;0.5690131;113.9162;250.9058;-0.06366697;-0.1052192;113.9162;347.2994;0;354.9553;352.363;
