dt,leftfoot_px,leftfoot_py,leftfoot_pz,leftfoot_rx,leftfoot_ry,leftfoot_rz,rightfoot_px,rightfoot_py,rightfoot_pz,rightfoot_rx,rightfoot_ry,rightfoot_rz,hip_px,hip_py,hip_pz,hip_rx,hip_ry,hip_rz,direction_px,direction_py,direction_pz,direction_rx,direction_ry,direction_rz,head_px,head_py,head_pz,head_rx,head_ry,head_rz,locomotionPoint_px,locomotionPoint_py,locomotionPoint_pz,locomotionPoint_rx,locomotionPoint_ry,locomotionPoint_rz,
0.016567,0.03424621,0.1270514,-0.07535529,272.0645,343.6066,25.03744,0.2342863,0.125526,0.07046843,283.0727,178.7094,188.0694,0,0,0,0,0,0,0,-0.03333665,0,0,12.5575,0,0,0,0,0,0,0,0.3236475,0.03333665,0.5311315,0,0,0,
0.0260983,0.03543055,0.129868,-0.08098555,272.8823,343.9432,24.61391,0.2369529,0.1232569,0.07650375,284.0721,176.4084,189.7345,0,0,0,0,0,0,0,-0.03333665,0,0,4.26354,0,0,0,0,0,0,0,0.3240725,0.03333665,0.5368322,0,0,0,
0.0165671,0.03457415,0.127038,-0.08774745,272.7459,333.095,35.58305,0.236972,0.1207807,0.08312297,284.6783,175.384,190.3485,0,0,0,0,0,0,0,-0.03333665,0,0,5.555686,0,0,0,0,0,0,0,0.3242795,0.03333665,0.5389608,0,0,0,
0.0165681,0.0333457,0.1291153,-0.091205,270.9889,332.808,35.87049,0.2351992,0.1304755,0.09296298,283.9307,214.4835,150.537,0,0,0,0,0,0,0,-0.03333665,0,0,8.962074,0,0,0,0,0,0,0,0.3247733,0.03333665,0.5420916,0,0,0,
0.0171243,0.03306627,0.1282578,-0.09745193,273.24,345.0269,23.32827,0.2386903,0.1256449,0.0911839,281.5718,181.765,182.4344,0,0,0,0,0,0,0,-0.03333665,0,0,6.628686,0,0,0,0,0,0,0,0.3250163,0.03333665,0.5441831,0,0,0,
0.0160075,0.03279924,0.12924,-0.1045576,272.086,350.0609,18.22274,0.2350547,0.1265316,0.090415,281.9492,178.7938,186.2052,0,0,0,0,0,0,0,-0.03333665,0,0,4.893768,0,0,0,0,0,0,0,0.3251029,0.03333665,0.5451943,0,0,0,
0.0165669,0.03139925,0.1288702,-0.107718,273.7408,343.2571,25.42581,0.236981,0.1217358,0.09212112,281.0427,186.2922,179.5522,0,0,0,0,0,0,0,-0.03333665,0,0,8.76435,0,0,0,0,0,0,0,0.3251029,0.03333665,0.5451943,0,0,0,
0.0165669,0.03125942,0.1283357,-0.111461,272.804,331.6945,36.76073,0.2351953,0.1243813,0.09178615,280.1671,183.0361,182.562,0,0,0,0,0,0,0,-0.03333665,0,0,7.204914,0,0,0,0,0,0,0,0.3251029,0.03333665,0.5451943,0,0,0,
0.0165689,0.02946484,0.1278114,-0.114018,271.4995,302.0654,66.6164,0.2331876,0.1227601,0.0927279,279.5907,187.5509,178.45,0,0,0,0,0,0,0,-0.03333665,0,0,13.01817,0,0,0,0,0,0,0,0.3251029,0.03333665,0.5451943,0,0,0,
0.0165648,0.03051865,0.1313679,-0.1196704,272.251,336.6599,31.88787,0.2310122,0.1243155,0.09228921,279.0387,191.6416,174.5173,0,0,0,0,0,0,0,-0.03333665,0,0,4.140713,0,0,0,0,0,0,0,0.3251029,0.03333665,0.5451943,0,0,0,
0.041846,0.03133774,0.1331589,-0.1238282,272.5382,5.312208,2.531142,0.2302222,0.1235483,0.0908668,278.1211,195.3391,170.9087,0,0,0,0,0,0,0,-0.03333665,0,0,107.198,0,0,0,0,0,0,0,0.3251029,0.03333665,0.5451943,0,0,0,
0.0165674,0.0292033,0.1329904,-0.1281658,271.8362,355.6348,12.91147,0.2291094,0.1255989,0.09133458,278.1641,198.7579,167.9094,0,0,0,0,0,0,0,-0.03333665,0,0,107.198,0,0,0,0,0,0,0,0.3251029,0.03333665,0.5451943,0,0,0,
0.0165693,0.03105259,0.1303225,-0.1295817,272.8833,349.238,18.81693,0.2314219,0.1263185,0.08604717,274.6199,189.1323,176.1349,0,0,0,0,0,0,0,-0.03333665,0,0,107.198,0,0,0,0,0,0,0,0.3251029,0.03333665,0.5451943,0,0,0,
0.0165639,0.02989745,0.1316788,-0.1375463,270.6638,347.6036,20.5099,0.229027,0.1268206,0.08348012,274.2528,200.8511,164.4375,0,0,0,0,0,0,0,-0.03333665,0,0,107.198,0,0,0,0,0,0,0,0.3251029,0.03333665,0.5451943,0,0,0,
0.0165674,0.02909827,0.1347611,-0.1439116,272.4755,3.564956,4.533034,0.2296429,0.1274166,0.08055949,273.0427,208.2052,157.1551,0,0,0,0,0,0,0,-0.03333665,0,0,107.198,0,0,0,0,0,0,0,0.3251029,0.03333665,0.5451943,0,0,0,
0.0168455,0.02946901,0.1345675,-0.1511967,272.3366,345.5941,22.47651,0.2288129,0.1280088,0.07787466,272.2001,228.7879,136.0479,0,0,0,0,0,0,0,-0.03333665,0,0,107.198,0,0,0,0,0,0,0,0.3251029,0.03333665,0.5451943,0,0,0,
0.0162887,0.02855253,0.133018,-0.152673,272.8298,16.04065,351.5365,0.227643,0.1296415,0.07596397,271.6777,270.4392,94.42054,0,0,0,0,0,0,0,-0.03333665,0,0,107.198,0,0,0,0,0,0,0,0.3251029,0.03333665,0.5451943,0,0,0,
0.0167897,0.02823389,0.1352537,-0.160141,272.6941,5.917674,1.958462,0.2295488,0.1285446,0.0681088,271.6628,253.2217,111.1741,0,0,0,0,0,0,0,-0.03333665,0,0,107.198,0,0,0,0,0,0,0,0.3251029,0.03333665,0.5451943,0,0,0,
0.0167736,0.0265348,0.1334648,-0.1648819,272.884,10.64535,356.6478,0.2273929,0.1269488,0.05883932,271.1682,200.3676,163.6522,0,0,0,0,0,0,0,-0.03333665,0,0,107.198,0,0,0,0,0,0,0,0.3251029,0.03333665,0.5451943,0,0,0,
