AverageFeet;LiftedThreshold;0.03;StandingThreshold;0.1;SamplingRate;60;

Task;Timestamp;SecSinceStart;PlayerX;PlayerY;PlayerZ;LocomotionOffX;LocomotionOffY;LocomotionOffZ;PlayerRotX;PlayerRotY;PlayerRotZ;HeadPosX;HeadPosY;HeadPosZ;HeadRotX;HeadRotY;HeadRotZ;PlayerHorSpeed;LHandPosX;LHandPosY;LHandPosZ;LHandRotX;LHandRotY;LHandRotZ;RHandPosX;RHandPosY;RHandPosZ;RHandRotX;RHandRotY;RHandRotZ;LLegPosX;LLegPosY;LLegPosZ;LLegRotX;LLegRotY;LLegRotZ;LLHorSpeed;RLegPosX;RLegPosY;RLegPosZ;RLegRotX;RLegRotY;RLegRotZ;RLHorSpeed;HipPosX;HipPosY;HipPosZ;HipRotX;HipRotY;HipRotZ;HipHorSpeed;DirectionRotX;DirectionRotY;DirectionRotZ;AllTrackersWorking;TrackersNotWorking;RightLifted;RightStanding;LeftLifted;LeftStanding;StandingLeadingFoot;LiftedLeadingFoot;GWAngle;LocomotionSpeed;EWMA_Right;EWMA_Left
MW;2023/03/06_15:35:58.822;0.02288437;-0.08104619;0.230005;0.9106391;0.1225169;0.01860684;1.201751;0;0;0;-0.2034295;0.04418595;-0.2880105;347.1327;272.5902;0.3425026;0.3039761;0;0;0;0;0;0;0;0;0;0;0;0;0.03348279;0.1317298;0.09864497;273.3926;348.2905;13.14963;0;0.375861;0.2033365;-0.1985829;277.8087;287.0097;76.33929;0;0;0;0;0;0;0;-108.4393;0;2.46729;0;True;;True;False;True;True;left;left;;0.2793426;0.6722144;0.4451559;
MW;2023/03/06_15:35:58.822;0.05600166;-0.08069336;0.230005;0.919802;0.1228587;0.01862466;1.210618;0;0;0;-0.2034439;0.0441419;-0.2880105;347.1348;272.5958;0.3361529;-0.3465976;0;0;0;0;0;0;0;0;0;0;0;0;0.03419423;0.1295772;0.09314585;273.0452;350.6899;10.45352;0;0.3794588;0.2059784;-0.2051098;277.2924;287.834;75.3088;0;0;0;0;0;0;0;-109.2631;0;2.207684;0;True;;True;False;True;True;left;left;;0.2526982;0.6066077;0.4041849;
MW;2023/03/06_15:35:58.822;0.07898521;-0.08045918;0.230005;0.9253764;0.1230811;0.01865315;1.216201;0;0;0;-0.2034552;0.04401942;-0.2880088;347.1313;272.5854;0.3279708;0.203568;0;0;0;0;0;0;0;0;0;0;0;0;0.03262711;0.1338084;0.08532429;273.6706;346.666;14.77787;-0.2908113;0.3838732;0.2088051;-0.2166538;277.4897;287.3988;75.64079;-0.5557446;0;0;0;0;0;0;-109.7672;0;2.31559;0;True;;True;False;True;True;left;left;;0.2504139;0.6016885;0.399967;
MW;2023/03/06_15:35:58.822;0.09695816;-0.08037417;0.230005;0.9281924;0.1232044;0.0186519;1.219158;0;0;0;-0.2034299;0.04405309;-0.2880222;347.1353;272.5973;0.3369348;0;0;0;0;0;0;0;0;0;0;0;0;0;0.03386569;0.1318069;0.07371521;272.741;351.4679;9.463329;-1.050747;0.3883928;0.2119007;-0.2294918;277.8699;288.2328;75.46962;-1.22493;0;0;0;0;0;0;-110.0172;0;2.388076;0;True;;True;False;True;True;left;left;;0.2663392;0.6328506;0.432506;
MW;2023/03/06_15:35:58.822;0.1147537;-0.08014409;0.230005;0.9341025;0.1234438;0.0186252;1.224998;0;0;0;-0.2033989;0.04412482;-0.2879451;347.1342;272.5925;0.3416392;-0.3386866;0;0;0;0;0;0;0;0;0;0;0;0;0.03572428;0.1327386;0.06721687;273.656;345.0136;15.99866;-0.4431622;0.3916427;0.2156186;-0.2431426;277.8917;297.4094;66.09105;-0.6680655;0;0;0;0;0;0;-110.5452;0;2.372757;0;True;;True;False;True;True;left;left;;0.263391;0.6331939;0.4203702;
MW;2023/03/06_15:35:58.822;0.1327763;-0.07995515;0.230005;0.9370527;0.1235739;0.01863211;1.227907;0;0;0;-0.2034031;0.04416553;-0.2879643;347.1368;272.5866;0.3285456;-0.3302031;0;0;0;0;0;0;0;0;0;0;0;0;0.03380442;0.131705;0.05833936;271.3565;307.6633;53.53686;-0.344894;0.3944799;0.2221198;-0.2571421;278.9101;293.3482;70.95731;-0.6072582;0;0;0;0;0;0;-110.8082;0;2.862552;0;True;;True;False;True;True;left;left;;0.2621234;0.6318972;0.4165964;
MW;2023/03/06_15:35:58.822;0.1496696;-0.07968921;0.230005;0.9430143;0.1238659;0.01865196;1.234028;0;0;0;-0.203376;0.04411659;-0.288086;347.1328;272.5925;0.3364398;-0.3606572;0;0;0;0;0;0;0;0;0;0;0;0;0.03375864;0.1319385;0.05191517;271.6508;359.4312;1.519659;-0.2090109;0.3980148;0.2328491;-0.2716247;279.897;304.442;59.57351;-0.6501839;0;0;0;0;0;0;-111.3468;0;2.66748;0;True;;True;False;True;True;left;left;;0.2741587;0.6678633;0.4287713;
MW;2023/03/06_15:35:58.822;0.1707973;-0.07937802;0.230005;0.948931;0.1241756;0.01860422;1.239933;0;0;0;-0.2034005;0.04417569;-0.2880646;347.1345;272.5918;0.3371329;-0.2708218;0;0;0;0;0;0;0;0;0;0;0;0;0.03399551;0.1314826;0.04650736;272.4985;319.0991;42.21577;-0.2210125;0.3991913;0.2505441;-0.2797287;281.0969;305.5988;58.94823;-0.2525109;0;0;0;0;0;0;-111.8901;0;3.178298;0;True;;True;False;True;True;left;left;;0.2623324;0.6386701;0.4106593;
MW;2023/03/06_15:35:58.822;0.2096825;-0.07883133;0.230005;0.9573028;0.1247261;0.018619;1.248042;0;0;0;-0.2033762;0.04415826;-0.2881482;347.1382;272.5983;0.335831;-0.2573476;0;0;0;0;0;0;0;0;0;0;0;0;0.03520846;0.1320267;0.04285169;272.6504;341.5561;19.61265;0;0.4017408;0.2730861;-0.2818469;287.6843;337.6688;28.08057;0;0;0;0;0;0;0;-112.6496;0;4.000309;0;True;;True;False;True;True;left;left;;0.2337206;0.5658538;0.3690286;
MW;2023/03/06_15:35:58.822;0.2293949;-0.07845043;0.230005;0.9624844;0.1250903;0.01859128;1.253085;0;0;0;-0.2034453;0.04421041;-0.288053;347.1323;272.5884;0.3315326;-0.2403857;0;0;0;0;0;0;0;0;0;0;0;0;0.03655994;0.134109;0.0367341;272.2852;344.1258;16.67498;-0.21601;0.4038054;0.288902;-0.2867963;288.7176;341.6618;24.5762;-0.1135544;0;0;0;0;0;0;-113.1145;0;4.052299;0;True;;True;False;True;True;left;left;;0.2238297;0.5344326;0.3608862;
