AverageFeet;LiftedThreshold;0.03;StandingThreshold;0.1;SamplingRate;60;

Task;Timestamp;SecSinceStart;PlayerX;PlayerY;PlayerZ;LocomotionOffX;LocomotionOffY;LocomotionOffZ;PlayerRotX;PlayerRotY;PlayerRotZ;HeadPosX;HeadPosY;HeadPosZ;HeadRotX;HeadRotY;HeadRotZ;PlayerHorSpeed;LHandPosX;LHandPosY;LHandPosZ;LHandRotX;LHandRotY;LHandRotZ;RHandPosX;RHandPosY;RHandPosZ;RHandRotX;RHandRotY;RHandRotZ;LLegPosX;LLegPosY;LLegPosZ;LLegRotX;LLegRotY;LLegRotZ;LLHorSpeed;RLegPosX;RLegPosY;RLegPosZ;RLegRotX;RLegRotY;RLegRotZ;RLHorSpeed;HipPosX;HipPosY;HipPosZ;HipRotX;HipRotY;HipRotZ;HipHorSpeed;DirectionRotX;DirectionRotY;DirectionRotZ;AllTrackersWorking;TrackersNotWorking;RightLifted;RightStanding;LeftLifted;LeftStanding;StandingLeadingFoot;LiftedLeadingFoot;GWAngle;LocomotionSpeed;EWMA_Right;EWMA_Left
MW;2023/03/06_15:42:49.218;0.2394972;-0.0780232;0.230005;0.9593012;0.1255016;0.01866883;1.250057;0;0;0;-0.2033467;0.04398703;-0.2881318;347.1454;272.5926;0.3161189;0.3438646;0;0;0;0;0;0;0;0;0;0;0;0;0.03520846;0.1320267;0.04285169;272.6504;341.5561;19.61265;-0.2391813;0.4017408;0.2730861;-0.2818469;287.6843;337.6688;28.08057;-0.3145608;0;0;0;0;0;0;-112.8361;0;4.000309;0;True;;True;False;True;False;left;left;;0.2347075;0.5619655;0.3768646;
MW;2023/03/06_15:42:49.218;0.2616673;-0.07762401;0.230005;0.9645498;0.1258672;0.01867002;1.255121;0;0;0;-0.2033155;0.04396665;-0.2880811;347.1394;272.5947;0.3231938;-0.2338841;0;0;0;0;0;0;0;0;0;0;0;0;0.03655994;0.134109;0.0367341;272.2852;344.1258;16.67498;-0.21601;0.4038054;0.288902;-0.2867963;288.7176;341.6618;24.5762;-0.1135544;0;0;0;0;0;0;-113.3029;0;4.052299;0;True;;True;False;True;False;left;left;;0.2247204;0.5309234;0.3679582;
MW;2023/03/06_15:42:49.218;0.2839317;-0.0773042;0.230005;0.9694535;0.1262527;0.01868951;1.259947;0;0;0;-0.2033655;0.04393699;-0.2881175;347.1278;272.5963;0.3225944;-0.2218183;0;0;0;0;0;0;0;0;0;0;0;0;0.03661084;0.1337714;0.02928829;272.189;340.069;20.84584;-0.3057257;0.4062254;0.3070087;-0.2895659;291.457;344.8686;22.10148;-0.1776878;0;0;0;0;0;0;-113.7478;0;4.571673;0;True;;True;False;True;False;left;left;;0.2153789;0.4963531;0.3651623;
MW;2023/03/06_15:42:49.218;0.3231115;-0.07645485;0.230005;0.9786681;0.1270283;0.01867354;1.268839;0;0;0;-0.2032979;0.04398645;-0.2881019;347.1301;272.5829;0.3327121;-0.2075397;0;0;0;0;0;0;0;0;0;0;0;0;0.03600395;0.1342559;0.02174759;272.1317;284.9344;76.44893;0;0.4076087;0.3244109;-0.2930907;291.8039;346.5989;21.0256;0;0;0;0;0;0;0;-114.5794;0;5.116983;0;True;;True;False;True;False;left;left;;0.1869501;0.4191705;0.3286298;
MW;2023/03/06_15:42:49.218;0.3439379;-0.07626958;0.230005;0.980737;0.1272193;0.0186612;1.270856;0;0;0;-0.2032813;0.04401476;-0.2880812;347.1373;272.5866;0.317723;-0.1905857;0;0;0;0;0;0;0;0;0;0;0;0;0.03355098;0.1319871;0.01292729;272.5816;339.9349;21.55574;-0.3715804;0.4079498;0.3440466;-0.2917638;294.1019;348.3667;20.10544;-0.008190093;0;0;0;0;0;0;-114.7663;0;4.205968;0;True;;True;False;True;False;left;left;;0.1823497;0.3986215;0.3307773;
MW;2023/03/06_15:42:49.218;0.3611116;-0.07585452;0.230005;0.9848613;0.1276137;0.01866603;1.274946;0;0;0;-0.2032518;0.04400841;-0.2881214;347.1367;272.5853;0.3242565;-0.2542086;0;0;0;0;0;0;0;0;0;0;0;0;0.03327572;0.1323292;0.008378029;271.3097;16.7233;343.609;-0.06982791;0.4095116;0.3626673;-0.2875913;297.5214;352.9262;16.43442;-0.1830471;0;0;0;0;0;0;-115.1367;0;5.525426;0;True;;True;False;True;False;left;left;;0.1817734;0.3853896;0.341704;
MW;2023/03/06_15:42:49.218;0.3789063;-0.07540044;0.230005;0.9886957;0.1280362;0.01867819;1.278795;0;0;0;-0.2032246;0.04397708;-0.288209;347.1373;272.5893;0.3261085;-0.2213623;0;0;0;0;0;0;0;0;0;0;0;0;0.03307104;0.1314967;0.006980896;270.6606;285.7289;74.74683;0.1277736;0.4115481;0.3767773;-0.285197;299.7553;356.8427;13.89455;-0.1177893;0;0;0;0;0;0;-115.4956;0;6.205951;0;True;;True;False;True;False;left;left;;0.1713435;0.3617381;0.3236358;
MW;2023/03/06_15:42:49.218;0.3956556;-0.07518838;0.230005;0.9905857;0.1282551;0.01865441;1.280664;0;0;0;-0.2032606;0.044023;-0.2881805;347.136;272.5889;0.3366601;0;0;0;0;0;0;0;0;0;0;0;0;0;0.03313589;0.1314948;0.004482985;271.7267;319.9579;40.97299;-0.2248877;0.4135382;0.3819945;-0.2879643;297.3904;357.3985;14.00614;-0.3067733;0;0;0;0;0;0;-115.6669;0;6.679644;0;True;;True;False;True;False;left;left;;0.1694221;0.3589898;0.3186984;
MW;2023/03/06_15:42:49.218;0.4175224;-0.07479495;0.230005;0.99431;0.1286846;0.01868272;1.284256;0;0;0;-0.2033164;0.04397969;-0.2881484;347.1382;272.5967;0.3189602;-0.1781389;0;0;0;0;0;0;0;0;0;0;0;0;0.03367352;0.1320214;0.001335382;271.9091;330.3618;30.73825;-0.154912;0.4168694;0.3859358;-0.2867672;294.7008;357.1502;14.53556;0.2045629;0;0;0;0;0;0;-116.001;0;6.829509;0;True;;True;False;True;False;left;left;;0.1609184;0.3409285;0.3027452;
MW;2023/03/06_15:42:49.218;0.4396324;-0.07437256;0.2300051;0.9978263;0.1291136;0.0186618;1.287785;0;0;0;-0.2032411;0.04398504;-0.2881717;347.1377;272.59;0.3309133;-0.1677599;0;0;0;0;0;0;0;0;0;0;0;0;0.03262806;0.1320963;-0.002757788;272.2681;334.0043;27.13392;-0.2631308;0.4207028;0.3899773;-0.2785387;296.0153;359.317;12.61285;0.3578387;0;0;0;0;0;0;-116.3219;0;6.921457;0;True;;True;False;True;False;left;left;;0.1598464;0.3474272;0.2919583;
