RoomScale;LiftedThreshold;0.03;StandingThreshold;0.1;SamplingRate;60;

Task;Timestamp;SecSinceStart;PlayerX;PlayerY;PlayerZ;LocomotionOffX;LocomotionOffY;LocomotionOffZ;PlayerRotX;PlayerRotY;PlayerRotZ;HeadPosX;HeadPosY;HeadPosZ;HeadRotX;HeadRotY;HeadRotZ;PlayerHorSpeed;LHandPosX;LHandPosY;LHandPosZ;LHandRotX;LHandRotY;LHandRotZ;RHandPosX;RHandPosY;RHandPosZ;RHandRotX;RHandRotY;RHandRotZ;LLegPosX;LLegPosY;LLegPosZ;LLegRotX;LLegRotY;LLegRotZ;LLHorSpeed;RLegPosX;RLegPosY;RLegPosZ;RLegRotX;RLegRotY;RLegRotZ;RLHorSpeed;HipPosX;HipPosY;HipPosZ;HipRotX;HipRotY;HipRotZ;HipHorSpeed;DirectionRotX;DirectionRotY;DirectionRotZ;AllTrackersWorking;TrackersNotWorking;RightLifted;RightStanding;LeftLifted;LeftStanding;StandingLeadingFoot;LiftedLeadingFoot;GWAngle;LocomotionSpeed;EWMA_Right;EWMA_Left;LAvgVelAngle;RAvgVelAngle;LAvgVelMag;RAvgVelMag;LiftedAngle;StandingAngle;HipAngle;HeadAngle;AvgFeetAngle
MW;2023/03/10_15:37:10.788;0.001972198;0.3353634;0.230005;0.5311775;0.3353634;0.03333665;0.5311775;0;0;0;0;0;0;0;0;0;0.1626079;0;0;0;0;0;0;0;0;0;0;0;0;0.0136776;0.1362882;0.04379082;272.6331;69.68098;309.5922;0;0.1182594;0.1348259;-0.2058861;272.7157;248.9965;130.838;0;0;0;0;0;0;0;-56.39129;0;18.5219;0;True;;True;True;True;True;right;right;;0.1497821;0.1585962;0.3207066;31.06113;194.2528;0.3006777;-0.1827736;194.2528;14.25282;0;0;19.52303;
MW;2023/03/10_15:37:10.788;0.05806565;0.3378194;0.230005;0.5385185;0.3378194;0.03333665;0.5385185;0;0;0;0;0;0;0;0;0;0.1518827;0;0;0;0;0;0;0;0;0;0;0;0;0.01756179;0.1332064;0.04555655;270.7873;120.1259;258.0894;0;0.1157813;0.1370625;-0.2090856;272.0988;227.8756;150.9537;0;0;0;0;0;0;0;-57.09179;0;18.48862;0;True;;True;True;True;True;left;left;;0.125421;0.1375519;0.2637953;35.17619;198.4512;0.198825;-0.1301892;35.17619;18.45119;0;0;18.51459;
MW;2023/03/10_15:37:10.788;0.08144212;0.3387453;0.230005;0.5412438;0.3387453;0.03333665;0.5412438;0;0;0;0;0;0;0;0;0;0.1380002;0;0;0;0;0;0;0;0;0;0;0;0;0.02141905;0.1303689;0.04739451;271.0187;163.0488;214.2858;0;0.1137735;0.1374693;-0.2141695;273.5845;303.5575;76.40648;0;0;0;0;0;0;0;-57.34293;0;18.79789;0;True;;True;True;True;True;left;left;;0.1262029;0.1475078;0.2563414;40.24529;199.3676;0.1919672;-0.1496823;40.24529;19.36757;0;0;18.66419;
MW;2023/03/10_15:37:10.788;0.1168294;0.3401501;0.230005;0.5456272;0.3401501;0.03333665;0.5456272;0;0;0;0;0;0;0;0;0;0.09123223;0;0;0;0;0;0;0;0;0;0;0;0;0.02949584;0.1295409;0.05108953;270.5941;223.5875;152.1068;0;0.1095736;0.1395559;-0.2244331;272.8938;207.3603;171.4954;0;0;0;0;0;0;0;-57.73577;0;18.02011;0;True;;True;True;True;True;left;left;;0.1355652;0.1770779;0.2567308;48.4356;201.2272;0.2035877;-0.1938343;48.4356;21.22721;0;0;17.26808;
MW;2023/03/10_15:37:10.788;0.1347375;0.341081;0.230005;0.5485489;0.341081;0.03333665;0.5485489;0;0;0;0;0;0;0;0;0;0.1642584;0;0;0;0;0;0;0;0;0;0;0;0;0.03240395;0.1305237;0.05313373;270.8116;286.0503;88.86609;0;0.1080549;0.1400671;-0.2297251;272.8424;281.9451;97.68642;0;0;0;0;0;0;0;-58.00445;0;17.8023;0;True;;True;True;True;True;left;left;;0.1344516;0.1833493;0.2468959;49.39462;200.0744;0.1935434;-0.2014574;49.39462;20.07437;0;0;17.26937;
MW;2023/03/10_15:37:10.788;0.153095;0.3415179;0.230005;0.5500385;0.3415179;0.03333665;0.5500385;0;0;0;0;0;0;0;0;0;0.1712322;0;0;0;0;0;0;0;0;0;0;0;0;0.03477049;0.133482;0.05393195;272.9377;339.1504;35.15688;0.2247779;0.1089036;0.1381633;-0.2356848;271.978;266.5052;112.4406;-0.5417848;0;0;0;0;0;0;-58.13486;0;16.34542;0;True;;True;True;True;True;left;left;;0.1397066;0.2012711;0.24579;51.86316;193.7014;0.1952161;-0.230493;51.86316;13.7014;0;0;16.6391;
MW;2023/03/10_15:37:10.788;0.1955309;0.3432058;0.230005;0.555663;0.3432058;0.03333665;0.555663;0;0;0;0;0;0;0;0;0;0.08456066;0;0;0;0;0;0;0;0;0;0;0;0;0.03725064;0.13432;0.05467558;273.8632;342.3508;31.27928;0;0.1059973;0.1380432;-0.238905;272.2816;253.4082;125.5471;0;0;0;0;0;0;0;-58.66174;0;16.92316;0;True;;True;True;True;True;left;left;;0.1221437;0.1806725;0.2101872;54.33488;198.0878;0.144027;-0.1767873;54.33488;18.08785;0;0;16.31268;
MW;2023/03/10_15:37:10.788;0.2181323;0.3440222;0.230005;0.5583466;0.3440222;0.03333665;0.5583466;0;0;0;0;0;0;0;0;0;0.1383819;0;0;0;0;0;0;0;0;0;0;0;0;0.03994775;0.1352758;0.05136919;274.5717;354.2279;19.30522;0;0.1037335;0.1380551;-0.243675;272.4421;294.0406;85.23906;0;0;0;0;0;0;0;-58.90493;0;17.07256;0;True;;True;True;True;True;left;left;;0.1229886;0.1856286;0.2079351;70.52719;199.765;0.123703;-0.185698;70.52719;19.76496;0;0;16.44108;
MW;2023/03/10_15:37:10.788;0.2374418;0.3448331;0.230005;0.5610177;0.3448331;0.03333665;0.5610177;0;0;0;0;0;0;0;0;0;0.1241069;0;0;0;0;0;0;0;0;0;0;0;0;0.04163957;0.1349907;0.04925942;274.6966;25.8491;346.8142;0;0.1008455;0.1400185;-0.2487371;272.2157;267.15;112.2473;0;0;0;0;0;0;0;-59.14841;0;17.17059;0;True;;True;True;True;True;left;left;;0.1223959;0.1924444;0.1992224;81.42389;202.1347;0.109395;-0.1970819;81.42389;22.13472;0;0;16.00657;
MW;2023/03/10_15:37:10.788;0.2718921;0.3460957;0.230005;0.5652523;0.3460957;0.03333665;0.5652523;0;0;0;0;0;0;0;0;0;0.08811907;0;0;0;0;0;0;0;0;0;0;0;0;0.04160523;0.1329446;0.04021931;272.7922;7.6212;4.365699;0;0.09697688;0.140785;-0.2580055;272.0361;294.3438;85.07901;0;0;0;0;0;0;0;-59.52542;0;16.92983;0;True;;True;True;True;True;left;left;;0.1299742;0.2074644;0.2084531;126.1608;202.1273;-0.09707849;-0.2207131;126.1608;22.12728;0;0;15.71115;
