AverageFeet;LiftedThreshold;0.03;StandingThreshold;0.1;SamplingRate;60;

Task;Timestamp;SecSinceStart;PlayerX;PlayerY;PlayerZ;LocomotionOffX;LocomotionOffY;LocomotionOffZ;PlayerRotX;PlayerRotY;PlayerRotZ;HeadPosX;HeadPosY;HeadPosZ;HeadRotX;HeadRotY;HeadRotZ;PlayerHorSpeed;LHandPosX;LHandPosY;LHandPosZ;LHandRotX;LHandRotY;LHandRotZ;RHandPosX;RHandPosY;RHandPosZ;RHandRotX;RHandRotY;RHandRotZ;LLegPosX;LLegPosY;LLegPosZ;LLegRotX;LLegRotY;LLegRotZ;LLHorSpeed;RLegPosX;RLegPosY;RLegPosZ;RLegRotX;RLegRotY;RLegRotZ;RLHorSpeed;HipPosX;HipPosY;HipPosZ;HipRotX;HipRotY;HipRotZ;HipHorSpeed;DirectionRotX;DirectionRotY;DirectionRotZ;AllTrackersWorking;TrackersNotWorking;RightLifted;RightStanding;LeftLifted;LeftStanding;StandingLeadingFoot;LiftedLeadingFoot;GWAngle;LocomotionSpeed;EWMA_Right;EWMA_Left
MW;2023/03/06_14:06:06.463;0.2321129;0.2631926;0.9475037;0.593831;0.06400599;-5.960464E-08;0.3761668;0;0;0;0.1997423;1.535326;0.2200926;30.82146;19.26724;359.0695;0.1980617;0;0;0;0;0;0;0.1438341;0.1336427;-0.1225667;273.179;257.2553;123.0503;-0.06796587;0.2767529;-0.1820407;296.8797;13.1245;2.062458;0.9655698;0.1438341;0.1336427;-0.1225667;273.179;257.2553;123.0503;-0.2116614;0;0;0;0;0;0;-34.13484;0;17.98811;0;True;;False;True;True;False;right;right;;0.208975;0.351748;0.484152;
MW;2023/03/06_14:06:06.463;0.2543831;0.2643089;0.94787;0.5988472;0.06551434;-5.960464E-08;0.3807318;0;0;0;0.1994776;1.536211;0.2208693;30.9767;18.57332;359.043;0.2235643;0;0;0;0;0;0;0.1411083;0.1331081;-0.1282797;272.4422;249.0724;130.8414;-0.06460142;0.268857;-0.1671139;295.0524;12.16883;4.063972;1.03102;0.1411083;0.1331081;-0.1282797;272.4422;249.0724;130.8414;-0.3480407;0;0;0;0;0;0;-34.5523;0;18.3497;0;True;;False;True;True;False;right;right;;0.2196399;0.3463609;0.5321986;
MW;2023/03/06_14:06:06.463;0.2766151;0.2655654;0.9483343;0.6043275;0.06711932;-5.960464E-08;0.385492;0;0;0;0.1992433;1.537174;0.2216847;31.17467;17.79498;358.882;0.2548592;0;0;0;0;0;0;0.1399877;0.1321139;-0.1331339;273.0554;243.167;136.9498;-0.06012189;0.2606215;-0.1496308;293.1325;12.08107;4.841736;1.073171;0.1399877;0.1321139;-0.1331339;273.0554;243.167;136.9498;-0.2945214;0;0;0;0;0;0;-34.98998;0;18.76625;0;True;;False;True;True;False;right;right;;0.2290289;0.3346246;0.5814911;
MW;2023/03/06_14:06:06.463;0.29879;0.2670381;0.948753;0.6099107;0.06881373;-5.960464E-08;0.3904255;0;0;0;0.1988978;1.537876;0.2225929;31.33566;17.08676;358.7787;0.2658997;0;0;0;0;0;0;0.138237;0.132448;-0.1368624;273.1078;248.0095;132.1248;-0.05453086;0.2468174;-0.130843;290.8088;11.84298;5.711333;1.110196;0.138237;0.132448;-0.1368624;273.1078;248.0095;132.1248;-0.2197786;0;0;0;0;0;0;-35.44565;0;19.05648;0;True;;False;True;True;True;right;right;;0.2372436;0.3201572;0.6288173;
MW;2023/03/06_14:06:06.463;0.3210068;0.2685849;0.9491557;0.6160938;0.070619;-5.960464E-08;0.3956269;0;0;0;0.1989029;1.538667;0.2237306;31.29197;16.45687;358.7455;0.2838709;0;0;0;0;0;0;0.136553;0.1316264;-0.1434326;272.298;263.4142;116.3746;-0.04930902;0.2306812;-0.1109295;287.9335;10.38651;7.742848;1.290587;0.136553;0.1316264;-0.1434326;272.298;263.4142;116.3746;-0.3034373;0;0;0;0;0;0;-35.92074;0;19.1603;0;True;;False;True;True;True;right;right;;0.2516252;0.3187412;0.6877598;
MW;2023/03/06_14:06:06.463;0.343277;0.2704944;0.9494953;0.6230031;0.07254227;-5.960464E-08;0.4010544;0;0;0;0.1990251;1.539407;0.2255509;30.8592;15.80073;358.7392;0.3059065;0;0;0;0;0;0;0.1353464;0.1321466;-0.1476624;272.3146;252.8896;127.0336;-0.04428458;0.2136519;-0.09027314;284.9094;7.292152;11.58074;1.090007;0.1353464;0.1321466;-0.1476624;272.3146;252.8896;127.0336;-0.1388281;0;0;0;0;0;0;-36.42373;0;19.588;0;True;;False;True;True;True;right;right;;0.260349;0.3080492;0.7333468;
MW;2023/03/06_14:06:06.463;0.3655205;0.2726553;0.949916;0.6303184;0.07456727;-5.960464E-08;0.4066692;0;0;0;0.1991011;1.540085;0.2273955;30.3348;15.11223;358.6657;0.3380885;0;0;0;0;0;0;0.1332688;0.1337893;-0.1531333;271.3519;253.4189;126.2666;-0.03886294;0.1960225;-0.06853998;281.4864;4.167673;15.68675;1.362281;0.1332688;0.1337893;-0.1531333;271.3519;253.4189;126.2666;-0.3401786;0;0;0;0;0;0;-36.94157;0;19.91606;0;True;;False;True;True;True;right;right;;0.2726224;0.3044623;0.7860272;
MW;2023/03/06_14:06:06.463;0.3876686;0.2745827;0.9501668;0.6377931;0.07672445;-5.960464E-08;0.412501;0;0;0;0.1989331;1.540402;0.229054;29.96352;14.5118;358.4707;0.3388697;0;0;0;0;0;0;0.1313559;0.1322348;-0.157704;273.4727;255.2475;124.8409;-0.03322721;0.1792033;-0.04704058;277.9823;359.7932;20.99943;1.188548;0.1313559;0.1322348;-0.157704;273.4727;255.2475;124.8409;-0.1764173;0;0;0;0;0;0;-37.4847;0;20.50762;0;True;;False;True;True;True;right;right;;0.2813882;0.2970782;0.8284745;
MW;2023/03/06_14:06:06.463;0.4099197;0.276741;0.9502112;0.6452944;0.07894604;-5.960464E-08;0.4184004;0;0;0;0.1986943;1.540127;0.2306367;29.59921;14.03847;358.3883;0.3522914;0;0;0;0;0;0;0.1312025;0.1331544;-0.1638818;270.796;317.0529;62.59911;-0.0259316;0.1654513;-0.02620029;274.7204;4.116016;17.54381;0.9729293;0.1312025;0.1331544;-0.1638818;270.796;317.0529;62.59911;-0.36961;0;0;0;0;0;0;-38.03985;0;20.68344;0;True;;False;True;False;True;right;right;;0.2850035;0.2954553;0.8445586;
MW;2023/03/06_14:06:06.463;0.4321136;0.2786704;0.949936;0.6527289;0.08122765;-5.960464E-08;0.4243955;0;0;0;0.1983317;1.539349;0.2320522;29.24362;13.65486;358.4541;0.3484719;0;0;0;0;0;0;0.1273607;0.1321609;-0.1711975;272.862;266.3493;113.3822;-0.01785517;0.1546628;-0.006222248;272.3472;33.00918;349.1776;0.9746668;0.1273607;0.1321609;-0.1711975;272.862;266.3493;113.3822;-0.3855559;0;0;0;0;0;0;-38.60346;0;20.94132;0;True;;False;True;False;True;right;right;;0.2899792;0.3030446;0.8568722;
