RoomScale;LiftedThreshold;0.03;StandingThreshold;0.1;SamplingRate;60;

Task;Timestamp;SecSinceStart;PlayerX;PlayerY;PlayerZ;LocomotionOffX;LocomotionOffY;LocomotionOffZ;PlayerRotX;PlayerRotY;PlayerRotZ;HeadPosX;HeadPosY;HeadPosZ;HeadRotX;HeadRotY;HeadRotZ;PlayerHorSpeed;LHandPosX;LHandPosY;LHandPosZ;LHandRotX;LHandRotY;LHandRotZ;RHandPosX;RHandPosY;RHandPosZ;RHandRotX;RHandRotY;RHandRotZ;LLegPosX;LLegPosY;LLegPosZ;LLegRotX;LLegRotY;LLegRotZ;LLHorSpeed;RLegPosX;RLegPosY;RLegPosZ;RLegRotX;RLegRotY;RLegRotZ;RLHorSpeed;HipPosX;HipPosY;HipPosZ;HipRotX;HipRotY;HipRotZ;HipHorSpeed;DirectionRotX;DirectionRotY;DirectionRotZ;AllTrackersWorking;TrackersNotWorking;RightLifted;RightStanding;LeftLifted;LeftStanding;StandingLeadingFoot;LiftedLeadingFoot;GWAngle;LocomotionSpeed;EWMA_Right;EWMA_Left;LAvgVelAngle;RAvgVelAngle;LAvgVelMag;RAvgVelMag;LiftedAngle;StandingAngle;HipAngle;HeadAngle;AvgFeetAngle
MW;2023/03/09_17:51:50.838;0.01906776;0.3217862;0.230005;0.5346722;0.3217862;0.03333665;0.5346722;0;0;0;0;0;0;0;0;0;0.2179921;0;0;0;0;0;0;0;0;0;0;0;0;0.03543055;0.129868;-0.08098555;272.8823;343.9432;24.61391;0;0.2369529;0.1232569;0.07650375;284.0721;176.4084;189.7345;0;0;0;0;0;0;0;-124.5948;0;12.63317;0;True;;True;True;True;True;right;right;;0.2237875;0.6445403;0.2506099;184.0032;21.47504;-0.2584198;0.5392818;21.47504;12.63317;0;0;7.526626;
MW;2023/03/09_17:51:50.839;0.05220127;0.3230361;0.230005;0.5424867;0.3230361;0.03333665;0.5424867;0;0;0;0;0;0;0;0;0;0.2756521;0;0;0;0;0;0;0;0;0;0;0;0;0.0333457;0.1291153;-0.091205;270.9889;332.808;35.87049;0;0.2351992;0.1304755;0.09296298;283.9307;214.4835;150.537;0;0;0;0;0;0;0;-126.0796;0;9.208192;0;True;;True;True;True;True;left;left;;0.2118072;0.5889998;0.2582289;188.5207;7.986617;-0.2539865;0.4743941;188.5207;9.208192;0;0;6.507097;
MW;2023/03/09_17:51:50.839;0.07238102;0.3224689;0.230005;0.541644;0.3224689;0.03333665;0.541644;0;0;0;0;0;0;0;0;0;0.2020462;0;0;0;0;0;0;0;0;0;0;0;0;0.03306627;0.1282578;-0.09745193;273.24;345.0269;23.32827;0;0.2386903;0.1256449;0.0911839;281.5718;181.765;182.4344;0;0;0;0;0;0;0;-126.0737;0;200.8913;0;True;;True;True;True;True;right;right;;0.1943202;0.5133384;0.2639423;186.4139;18.44382;-0.2574932;0.2975772;18.44382;200.8913;0;0;6.338982;
MW;2023/03/09_17:51:50.839;0.1058197;0.3217133;0.230005;0.5397235;0.3217133;0.03333665;0.5397235;0;0;0;0;0;0;0;0;0;-0.1245735;0;0;0;0;0;0;0;0;0;0;0;0;0.03139925;0.1288702;-0.107718;273.7408;343.2571;25.42581;0;0.236981;0.1217358;0.09212112;281.0427;186.2922;179.5522;0;0;0;0;0;0;0;-125.6664;0;196.9559;0;True;;True;True;True;True;right;right;;0.1685221;0.4078616;0.2662268;188.6248;12.80095;-0.2467815;0.1555891;12.80095;196.9559;0;0;7.295421;
MW;2023/03/09_17:51:50.839;0.1387396;0.3217133;0.230005;0.5397235;0.3217133;0.03333665;0.5397235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02946484;0.1278114;-0.114018;271.4995;302.0654;66.6164;0;0.2331876;0.1227601;0.0927279;279.5907;187.5509;178.45;0;0;0;0;0;0;0;-125.6664;0;198.4438;0;True;;True;True;True;True;right;right;;0.1466913;0.3338881;0.2528772;193.1734;338.9979;-0.2211128;0.09847359;338.9979;198.4438;0;0;7.343451;
MW;2023/03/09_17:51:50.839;0.1717815;0.3217133;0.230005;0.5397235;0.3217133;0.03333665;0.5397235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.03133774;0.1331589;-0.1238282;272.5382;5.312208;2.531142;0;0.2302222;0.1235483;0.0908668;278.1211;195.3391;170.9087;0;0;0;0;0;0;0;-125.6664;0;192.8009;0;True;;True;True;True;True;right;right;;0.1303173;0.2641639;0.2571053;179.9085;287.121;-0.2304096;0.05524895;287.121;192.8009;0;0;7.005285;
MW;2023/03/09_17:51:50.839;0.204916;0.3217133;0.230005;0.5397235;0.3217133;0.03333665;0.5397235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.03105259;0.1303225;-0.1295817;272.8833;349.238;18.81693;0;0.2314219;0.1263185;0.08604717;274.6199;189.1323;176.1349;0;0;0;0;0;0;0;-125.6664;0;158.9979;0;True;;True;True;True;True;right;right;;0.1257578;0.2556083;0.2474231;178.5587;182.9946;-0.196675;-0.07158556;182.9946;158.9979;0;0;6.667331;
MW;2023/03/09_17:51:50.839;0.2564726;0.3217133;0.230005;0.5397235;0.3217133;0.03333665;0.5397235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02909827;0.1347611;-0.1439116;272.4755;3.564956;4.533034;0;0.2296429;0.1274166;0.08055949;273.0427;208.2052;157.1551;0;0;0;0;0;0;0;-125.6664;0;108.9766;0;True;;True;True;True;True;right;right;;0.1061075;0.1883516;0.2360783;184.6373;189.0182;-0.1855037;-0.07227135;189.0182;108.9766;0;0;6.71697;
MW;2023/03/09_17:51:50.839;0.2896805;0.3217133;0.230005;0.5397235;0.3217133;0.03333665;0.5397235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02855253;0.133018;-0.152673;272.8298;16.04065;351.5365;0;0.227643;0.1296415;0.07596397;271.6777;270.4392;94.42054;0;0;0;0;0;0;0;-125.6664;0;9.018148;0;True;;True;True;True;True;right;right;;0.1065213;0.1804202;0.2456651;185.0608;199.0701;-0.2090281;-0.1064349;199.0701;9.018148;0;0;6.211628;
MW;2023/03/09_17:51:50.839;0.3227396;0.3217133;0.230005;0.5397235;0.3217133;0.03333665;0.5397235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0265348;0.1334648;-0.1648819;272.884;10.64535;356.6478;0;0.2273929;0.1269488;0.05883932;271.1682;200.3676;163.6522;0;0;0;0;0;0;0;-125.6664;0;9.018148;0;True;;True;True;True;True;right;right;;0.1358143;0.2713019;0.2719552;188.8299;186.339;-0.2588339;-0.2835037;186.339;9.018148;0;0;5.651856;
MW;2023/03/09_17:51:50.839;0.3394413;0.3217133;0.230005;0.5397235;0.3217133;0.03333665;0.5397235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02470779;0.1337926;-0.1679862;272.2874;350.2586;17.40575;0;0.2271382;0.1295984;0.05788302;273.6593;251.8803;113.2698;0;0;0;0;0;0;0;-125.6664;0;358.4228;0;True;;True;True;True;True;right;right;;0.1268037;0.2415389;0.2656759;193.894;186.9544;-0.2438787;-0.22254;186.9544;358.4228;0;0;6.392288;
MW;2023/03/09_17:51:50.839;0.3724422;0.3217133;0.230005;0.5397235;0.3217133;0.03333665;0.5397235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02768183;0.1345811;-0.1791819;272.7685;11.95962;355.1807;0;0.2248915;0.1303914;0.04785347;272.1025;234.4316;130.4226;0;0;0;0;0;0;0;-125.6664;0;358.4228;0;True;;True;True;True;True;right;right;;0.1329347;0.2516321;0.2801069;176.6708;191.203;-0.2591607;-0.2357566;191.203;358.4228;0;0;5.984406;
MW;2023/03/09_17:51:50.839;0.3914289;0.3217133;0.230005;0.5397235;0.3217133;0.03333665;0.5397235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02423751;0.1349928;-0.1833663;273.3643;358.5547;8.940698;0;0.2244498;0.1252744;0.04519844;272.6526;226.9994;138.1176;0;0;0;0;0;0;0;-125.6664;0;6.95442;0;True;;True;True;True;True;right;right;;0.1256619;0.2280323;0.2746155;189.9169;190.8474;-0.234257;-0.1939075;190.8474;6.95442;0;0;6.297857;
MW;2023/03/09_17:51:50.839;0.4247532;0.3217133;0.230005;0.5397235;0.3217133;0.03333665;0.5397235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02419376;0.1355674;-0.1933835;273.0527;350.7141;16.28807;0;0.2238028;0.1284971;0.03654075;272.3323;237.0788;127.8306;0;0;0;0;0;0;0;-125.6664;0;6.331148;0;True;;True;True;True;True;right;right;;0.1317669;0.239063;0.2880047;185.9035;187.2909;-0.2640915;-0.2197176;187.2909;6.331148;0;0;5.954714;
MW;2023/03/09_17:51:50.839;0.457696;0.3217133;0.230005;0.5397235;0.3217133;0.03333665;0.5397235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02536428;0.1368382;-0.2035898;275.0565;349.83;16.81124;0;0.2222733;0.1299429;0.02849936;272.2136;253.6134;111.5215;0;0;0;0;0;0;0;-125.6664;0;10.84735;0;True;;True;True;True;True;right;right;;0.1300747;0.2353136;0.2849851;179.8057;189.9022;-0.2614198;-0.2171593;189.9022;10.84735;0;0;5.910368;
