RoomScale;LiftedThreshold;0.03;StandingThreshold;0.1;SamplingRate;60;

Task;Timestamp;SecSinceStart;PlayerX;PlayerY;PlayerZ;LocomotionOffX;LocomotionOffY;LocomotionOffZ;PlayerRotX;PlayerRotY;PlayerRotZ;HeadPosX;HeadPosY;HeadPosZ;HeadRotX;HeadRotY;HeadRotZ;PlayerHorSpeed;LHandPosX;LHandPosY;LHandPosZ;LHandRotX;LHandRotY;LHandRotZ;RHandPosX;RHandPosY;RHandPosZ;RHandRotX;RHandRotY;RHandRotZ;LLegPosX;LLegPosY;LLegPosZ;LLegRotX;LLegRotY;LLegRotZ;LLHorSpeed;RLegPosX;RLegPosY;RLegPosZ;RLegRotX;RLegRotY;RLegRotZ;RLHorSpeed;HipPosX;HipPosY;HipPosZ;HipRotX;HipRotY;HipRotZ;HipHorSpeed;DirectionRotX;DirectionRotY;DirectionRotZ;AllTrackersWorking;TrackersNotWorking;RightLifted;RightStanding;LeftLifted;LeftStanding;StandingLeadingFoot;LiftedLeadingFoot;GWAngle;LocomotionSpeed;EWMA_Right;EWMA_Left;LAvgVelAngle;RAvgVelAngle;LAvgVelMag;RAvgVelMag;LiftedAngle;StandingAngle;HipAngle;HeadAngle;AvgFeetAngle
MW;2023/03/10_13:51:12.299;0.006120443;0.330888;0.230005;0.5303602;0.330888;0.03333665;0.5303602;0;0;0;0;0;0;0;0;0;0.1868833;0;0;0;0;0;0;0;0;0;0;0;0;0.02949584;0.1295409;0.05108953;270.5941;223.5875;152.1068;0.3675933;0.1095736;0.1395559;-0.2244331;272.8938;207.3603;171.4954;-0.4959021;0;0;0;0;0;0;-56.13478;0;16.80573;0;True;;True;True;True;True;left;left;;0.1301017;0.2038281;0.3165786;46.19896;201.6654;0.2541208;-0.2291594;46.19896;16.80573;0;0;17.26808;
MW;2023/03/10_13:51:12.299;0.03390932;0.3321097;0.230005;0.5344207;0.3321097;0.03333665;0.5344207;0;0;0;0;0;0;0;0;0;0.09328838;0;0;0;0;0;0;0;0;0;0;0;0;0.03240395;0.1305237;0.05313373;270.8116;286.0503;88.86609;0;0.1080549;0.1400671;-0.2297251;272.8424;281.9451;97.68642;0;0;0;0;0;0;0;-56.51221;0;16.61643;0;True;;True;True;True;True;left;left;;0.1207449;0.1971167;0.285863;47.26344;200.5712;0.2109062;-0.2070356;47.26344;16.61643;0;0;17.26937;
MW;2023/03/10_13:51:12.299;0.05395222;0.3325047;0.230005;0.5357441;0.3325047;0.03333665;0.5357441;0;0;0;0;0;0;0;0;0;0.1525936;0;0;0;0;0;0;0;0;0;0;0;0;0.03477049;0.133482;0.05393195;272.9377;339.1504;35.15688;0.2247779;0.1089036;0.1381633;-0.2356848;271.978;266.5052;112.4406;-0.5417848;0;0;0;0;0;0;-56.6287;0;16.61643;0;True;;True;True;True;True;left;left;;0.1242897;0.2143501;0.2828088;49.76183;194.2279;0.2105346;-0.235306;49.76183;16.61643;0;0;16.6391;
MW;2023/03/10_13:51:12.299;0.09619379;0.3339883;0.230005;0.5407159;0.3339883;0.03333665;0.5407159;0;0;0;0;0;0;0;0;0;0.06890271;0;0;0;0;0;0;0;0;0;0;0;0;0.03725064;0.13432;0.05467558;273.8632;342.3508;31.27928;0;0.1059973;0.1380432;-0.238905;272.2816;253.4082;125.5471;0;0;0;0;0;0;0;-57.09517;0;16.61643;0;True;;True;True;True;True;left;left;;0.1079162;0.1913255;0.2403393;52.29011;198.4613;0.1538549;-0.1800417;52.29011;16.61643;0;0;16.31268;
MW;2023/03/10_13:51:12.299;0.1193807;0.33469;0.230005;0.5430674;0.33469;0.03333665;0.5430674;0;0;0;0;0;0;0;0;0;0.122828;0;0;0;0;0;0;0;0;0;0;0;0;0.03994775;0.1352758;0.05136919;274.5717;354.2279;19.30522;0;0.1037335;0.1380551;-0.243675;272.4421;294.0406;85.23906;0;0;0;0;0;0;0;-57.30873;0;16.61643;0;True;;True;True;True;True;left;left;;0.1075975;0.1952429;0.2351473;67.67957;200.0305;0.1301924;-0.1883597;67.67957;16.61643;0;0;16.44108;
MW;2023/03/10_13:51:12.299;0.1372263;0.3353828;0.230005;0.5453889;0.3353828;0.03333665;0.5453889;0;0;0;0;0;0;0;0;0;0.1058353;0;0;0;0;0;0;0;0;0;0;0;0;0.04163957;0.1349907;0.04925942;274.6966;25.8491;346.8142;0;0.1008455;0.1400185;-0.2487371;272.2157;267.15;112.2473;0;0;0;0;0;0;0;-57.52063;0;16.61643;0;True;;True;True;True;True;left;left;;0.1062257;0.2011214;0.2237814;78.339;202.3123;0.1136029;-0.1992646;78.339;16.61643;0;0;16.00657;
MW;2023/03/10_13:51:12.299;0.1704483;0.3364653;0.230005;0.5490162;0.3364653;0.03333665;0.5490162;0;0;0;0;0;0;0;0;0;0.0756084;0;0;0;0;0;0;0;0;0;0;0;0;0.04160523;0.1329446;0.04021931;272.7922;7.6212;4.365699;0;0.09697688;0.140785;-0.2580055;272.0361;294.3438;85.07901;0;0;0;0;0;0;0;-57.84506;0;16.61643;0;True;;True;True;True;True;left;left;;0.1111033;0.2149038;0.2295094;123.0373;202.2433;-0.09617826;-0.222304;123.0373;16.61643;0;0;15.71115;
MW;2023/03/10_13:51:12.299;0.1879582;0.3368394;0.230005;0.55027;0.3368394;0.03333665;0.55027;0;0;0;0;0;0;0;0;0;0.1519954;0;0;0;0;0;0;0;0;0;0;0;0;0.04345691;0.1330214;0.03648496;273.0682;357.2544;14.36032;-0.3751401;0.09545147;0.1403477;-0.2645187;272.0992;331.5751;47.96336;-0.6020507;0;0;0;0;0;0;-57.95243;0;16.61643;0;True;;True;True;True;True;left;left;;0.117763;0.2342612;0.2367909;132.1618;200.1508;-0.1203775;-0.2597004;132.1618;16.61643;0;0;15.59808;
MW;2023/03/10_13:51:12.299;0.2070405;0.337611;0.230005;0.5528556;0.337611;0.03333665;0.5528556;0;0;0;0;0;0;0;0;0;0.07472769;0;0;0;0;0;0;0;0;0;0;0;0;0.04460263;0.1342089;0.03071165;272.6518;24.05133;347.2968;0;0.09556508;0.140343;-0.2698848;271.2918;234.2555;144.9809;0;0;0;0;0;0;0;-58.18663;0;16.61643;0;True;;True;True;True;True;left;left;;0.118308;0.2343659;0.238866;143.9901;196.5382;-0.1387195;-0.2513445;143.9901;16.61643;0;0;15.28394;
MW;2023/03/10_13:51:12.299;0.2493787;0.3389874;0.230005;0.5576442;0.3389874;0.03333665;0.5576442;0;0;0;0;0;0;0;0;0;0.1414013;0;0;0;0;0;0;0;0;0;0;0;0;0.04564667;0.1351712;0.02724719;273.3417;45.4629;325.2553;0;0.0951581;0.1402266;-0.2738026;270.4652;252.9156;125.9789;0;0;0;0;0;0;0;-58.63449;0;14.10566;0;True;;True;True;True;True;left;left;;0.1036519;0.2060895;0.2085181;147.9353;195.1062;-0.1136974;-0.190368;147.9353;14.10566;0;0;14.78537;
